Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,INN: The latest on philanthropy for nonprofit news and media organizations,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Jesse Holcomb, Sue Hale, Tom Glaisyer, Kelly Born, Marie Gilot","*Moderated by Jesse Holcomb, Pew Research Center
This past year has seen several foundations move-on from supporting news and media, new foundations begin to invest in the space and long-serving foundations re-commit.  This year also saw unprecedented scrutiny of the ethics of philanthropy and journalism by media watchers who question the independence of the organizations supported.  This panel will look at the state of philanthropy in the space, and discuss ways to avoid ethical questions inherent in this type of support.
",Golden Gate B,http://ire.org/events-and-training/event/975/1496/
,News flash: Bringing investigative reporting to life with interactives,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Tasneem Raja, Josh Williams, Paul Grabowicz, Noah Veltman","*Moderated by Paul Grabowicz, UC Berkeley Graduate School of Journalism
For journalists, the tools of the trade expand every day as the formats, medium, and platforms for presenting news stories evolve. Resource-constrained newsrooms must keep up with the latest technologies not just for bottom line reasons but because technology can help us build better, more shareable stories. Charts and graphics, maps, databases from scratch, choose your own adventures, and flow charts, these tools have earned their place inside deep-dive projects. But for journalists laser-focused on reporting, where and how can thinking about data-driven interactives fit in? This panel will bring together leading interactive journalists who dove deep and lived to tell the tale. They will share tips and tactics for reporters to build their own newsroom's interactive toolkit.
",Club Room,http://ire.org/events-and-training/event/975/1338/
tableau,Tableau Public for beginners (Hosted by Tableau),2014-06-26,9:00 a.m.,2014-06-26,12:30 p.m.,Tara Walker,"Learn how to create beautiful, interactive data visualizations on short deadlines.  No programming required.  You'll learn everything you need to build data visualizations and publish them to your website just like a video.  We'll teach you how to: Connect to Excel files and other data, create maps and charts, format them beautifully and make them interactive. 
Tableau Public is a free tool for journalists.  No previous experience with Tableau is necessary to take this class.  Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available. Register for this training today.
",Nob Hill C,http://ire.org/events-and-training/event/975/1476/
,Fraud: The memorabilia racket,2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Philip Drechsler, Eric Flack, Hagit Limor, Steve Cyrkin","*Moderated by Hagit Limor, Fox19 Cincinnati
The editor of ""Autograph"" magazine joins three reporters with different angles on an ongoing national fraud -- selling fake autographs as the real deal. This panel includes the expert you'll need to turn a story likely untold in your region.
",Salon 14-15,http://ire.org/events-and-training/event/975/1392/
,The oceans: A rich source for investigative stories (Sponsored by Society of Environmental Journalists),2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Kristy Kroeker, Lauren Sommer, Carolyn Whetzel, David Helvarg","*Moderated by Carolyn Whetzel, Bloomberg BNA
Acidification, dead zones, overfishing, urban runoff, and marine debris are just some of the threats facing the world's oceans making headlines. At this session, panelists will dive deep into these environmental issues and take a look at the major ocean stories that are being under-reported.
",Salon 4-6,http://ire.org/events-and-training/event/975/1317/
,5 tools in 60 minutes (Sponsored by Knight Foundation),2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,Matt Carroll,"This session will walk you through the following tools:
",Nob Hill AB,http://ire.org/events-and-training/event/975/1413/
,Managing and juggling investigative work,2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Jennifer Forsyth, Sarah Karp, Liz Roldan","This session will provide tips on how to find time to do investigative work in the midst of other newsroom demands and provide strategies for how to get that work noticed in a 24-7 news cycle. It will emphasize efficiencies and organization and will discuss the pros and cons of producing one big project versus a running investigation. The discussion will bring perspectives from traditional print, online and broadcast.
",Salon 7,http://ire.org/events-and-training/event/975/1483/
,Building trust: Getting reluctant sources to talk,2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Ellen Gabler, Tony Kovaleski, Ellen Weiss, Andres Cediel","*Moderated by Ellen Weiss, The E.W. Scripps Company
It's one of the toughest challenges any journalist faces: getting sources who don't want to talk to you, who sometimes probably shouldn't talk to you, to open up. Some of the best in the business talk about how they've gotten reluctant sources to speak, and how you can too.
",Salon 1-3,http://ire.org/events-and-training/event/975/1298/
,The art of storytelling: Writing the data story,2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Sarah Cohen, David Donald, Ben Poston","From the first public records request to the final fact check, keeping the writing in mind will prevent your stories from becoming mind-numbing data dumps. We'll walk through how to focus your early work on finding the best cases for in-depth reporting; how to keep your data analysis on track while finding your ""compared to what?""; and how to draft the data-heavy sections of stories.
",Club Room,http://ire.org/events-and-training/event/975/1357/
,On the beat: Education,2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Jeremy Adam Smith, Nikole Hannah-Jones, Susan Ferriss, Terri Langford","*Moderated by Terri Langford, The Texas Tribune
This session will discuss how to get beyond the traditional education investigative story. Topics will include a discussion of creative documents, databases and non-traditional story ideas; how to use federal data, documents and build useful sources to write about segregation, violence, mismanagement and waste in school districts and more.
",Salon 10-11,http://ire.org/events-and-training/event/975/1356/
,"Covering prisons, jails and ""mass incarceration""  (Sponsored by Criminal Justice Journalists)",2014-06-26,10:10 a.m.,2014-06-26,11:10 a.m.,"Barry Krisberg, Marisa Lagos, Ted Gest, Paige St. John","Moderated by Ted Gest, Criminal Justice Journalists
Despite falling crime rates, the U.S. remains one of the world's incarceration leaders, with more than 2 million people in prisons and jails. Unless there's a riot or an escape, the media tend to ignore this problem. Hear from journalists and an outside expert about the leading issues, including overcrowding, poor inmate health care, private prisons, solitary confinement, mental illness behind bars, and whether efforts by California and other states to reduce corrections populations are succeeding.
",Salon 12-13,http://ire.org/events-and-training/event/975/1375/
,INN: Member programs,2014-06-26,10:15 a.m.,2014-06-26,noon,TBA,"Over the past four years, INN has steadily been building its programs and benefits for members.  With now 100 member organizations, these presentations will review the breadth of opportunities available to members to generate revenue, create efficiencies and increase impact:
*INN Strategy & INNovation Fund – Kevin Davis, CEO & Executive Director, INN
*Membership – Shelby Ilan, Membership Coordinator, INN
*Content & Communications – Luis Gomez, Editor & Business Reporter, INN
*Back-office Programs - Melodie Iwai, Director of Finance & Administration, INN
*Largo Project - Adam Schweigert, Director of Technology & Ryan Nagle, News Applications Developer, INN
*Data & Editorial Collaboration  - Denise Malan, Director of Data, INN/IRE
*Revenue Opportunities & Impaq.Me - Lisa Williams, Director of Revenue Generation, INN
*Community Journalism Executive Training (CJET) – Kevin Davis, CEO, INN & Anne Galloway, Editor & Executive Director, VT Digger
*Filmed Media  - Meyer Shwartzstein & Patty Ishimoto, Brainstorm Media
",Golden Gate B,http://ire.org/events-and-training/event/975/1497/
,Broadcast: 60 ideas in 60 minutes,2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Brian Collister, Nicole Vap","This may be the one panel you will get stories you can take back to your newsroom and get started on the day you get back from IRE. These 60 stories from broadcast investigative reporters around the country will give you story ideas that will keep you busy until the IRE conference in 2015.
",Salon 7,http://ire.org/events-and-training/event/975/1342/
,Let's get critical: How to look at information with X-ray eyes,2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,Al Tompkins,"Investigative reporters find stories others miss. But how do you know what you're seeing is real? What questions should you ask when sources feed you information or, you get your hands on that juicy piece of video or damning photo? We'll walk through real case studies where the truth slipped through the cracks.  Can you afford NOT to be here to learn how to protect yourself from lies, liars and scoundrels who want to mislead you?
 
",Salon 4-6,http://ire.org/events-and-training/event/975/1318/
,60 (data-driven) ideas in 60 minutes,2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Jodi Upton, MaryJo Webster","If you have a few data skills and you're looking for the right ideas to try them out, here are plenty -- whether you need something for tomorrow or you have a few weeks. We've got 60 proven winners for media outlets of all sizes, coming at you fast!
",Salon 14-15,http://ire.org/events-and-training/event/975/1393/
,Tracking subsidies with Good Jobs First (Sponsored by Knight Foundation),2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,Greg LeRoy,"States and cities spend $70 billion per year on economic development subsidies to corporations in the “economic war among the states [and suburbs].” Find out how to investigate these costly deals, including Good Jobs First's Subsidy Tracker database that has recently been enhanced to reveal corporate parents and big-business dominance and to better enable mash-ups.
",Nob Hill AB,http://ire.org/events-and-training/event/975/1414/
,"All about surveillance: Cameras, GPS, drones, databases and more (Sponsored by Criminal Justice Journalists)",2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Demian Bulwa, Ted Gest, Jennifer Lynch, Ali Winston","*Moderated by Ted Gest, Criminal Justice Journalists
Police and other investigative agencies increasingly are using high-tech surveillance methods, among them various kinds of cameras, license-plate readers, GPS anklets, ShotSpotter acoustic sensors, and drones. What policies govern their use? What can go wrong with them? Are they cost-effective? What records can journalists obtain about their use? Hear from reporters who are covering the new technology and an advocacy group that is keeping watch for abuses.
",Salon 12-13,http://ire.org/events-and-training/event/975/1376/
,Caspio Map Mashup (Hosted by Caspio),2014-06-26,11:20 a.m.,2014-06-26,noon,Edward Garcia,"Caspio's Map Mashup automates Google map integration in a single wizard. Topics covered: Integrating a searchable database with Google Maps; Adding custom icons and filters based on criteria; Combining multiple data sources on a single map. 
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
 
",Nob Hill D,http://ire.org/events-and-training/event/975/1479/
,"Coverage, consequence and why staffing matters",2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Dori Maynard, Manny Garcia, Susan Richardson, Donna Tam","*Moderated by Dori Maynard, Maynard Institute
Is your news organization missing key stories? Even worse, are you misinforming your audience? Discussions of newsroom diversity often focus on what it adds to a news organization. But lack of diversity can lead to mistakes and holes in a news organization's coverage. This session will examine what is missed -- and how audiences are misled or misinformed -- when a newsroom's staff lacks the diversity of the communities it covers.
",Salon 10-11,http://ire.org/events-and-training/event/975/1472/
,"Search gold rush: Top 100 tips, tricks and tools to mine prospects",2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Barbara Gray, Margot Williams","Muckrakers will leave with a basket full of the latest tips and tools for public records research, online privacy, advanced search techniques, alerting services and personal web caching and archiving.
 
",Club Room,http://ire.org/events-and-training/event/975/1340/
,The power of the crowd: Sourcing investigations through audience engagement,2014-06-26,11:20 a.m.,2014-06-26,12:20 p.m.,"Blair Hickman, Leonard Downie, Kristin Gilger, Brandon Quester","*Moderated by Leonard Downie, Jr., ASU Walter Cronkite School of Journalism
Audience engagement tools – from American Public Media's Public Insight Network to social media and innovative apps – are increasingly being used to expand investigative reporting and its impact by engaging the public to find information, diversify sources, compile databases, create multimedia and disseminate stories more widely. Practitioners from ProPublica, the new PIN Bureau at the Walter Cronkite School of Journalism and the News21 national investigative reporting project show how it can be done.
",Salon 1-3,http://ire.org/events-and-training/event/975/1315/
,INN: Break,2014-06-26,noon,2014-06-26,1:00 p.m.,TBA,,Golden Gate B,http://ire.org/events-and-training/event/975/1498/
,Lunch on your own - Thursday,2014-06-26,12:20 p.m.,2014-06-26,2:30 p.m.,TBA,,See printed schedule for room information,http://ire.org/events-and-training/event/975/1492/
,INN: Membership council meeting,2014-06-26,12:30 p.m.,2014-06-26,1:00 p.m.,Brant Houston,"Comprised of the Executive Directors (or equivalent) for each INN member organization and fiscally sponsored project in attendance – the meeting will cover INN governance & bylaws, as well as provide time to members to cast their votes via the online form (which is open now through 6/26) for two member seats on the INN board of directors.
",Golden Gate B,http://ire.org/events-and-training/event/975/1499/
,Brownbag: Uncovering fraud - Inside the mind of a hardcore criminal,2014-06-26,12:45 p.m.,2014-06-26,2:20 p.m.,Sam Antar,"Grab your lunch and join a convicted felon for lessons in business. Sam Antar, the Former Crazy Eddie CFO and former CPA will share his story and offer tips and techniques for spotting fraud. Beverages will be provided.
",Salon 1-3,http://ire.org/events-and-training/event/975/1467/
,INN: Revenue generation lightning rounds,2014-06-26,1:00 p.m.,2014-06-26,2:45 p.m.,"Jake Batsell,","Five INN member organizations will be selected∗ to make a 5 -10 minute presentation about a key growth and/or revenue driver for their organization.  Each presenter will be asked to focus on the revenue projections, cost of acquiring the revenue, risks if any and strategic benefit to their organization. Moderated by Texas Tribune fellow & SMU Journalism Professor, Jake Batsell.
*Tim Griggs, Jake Batsell, Texas Tribune Fellows:  “Lessons from both Inside & Out of the Texas Tribune”
*Andy Hall, Wisconsin Center “Beyond the News Cycle: Investigative Journalism + Art”
*Lila LaHood, SF Public Press “Lessons Learned from Kickstarter”
*Lyle Muller, IowaCenter “Taking Investigative Journalism to Commercial Radio”
*Naomi Schalit, Maine Center “Successfully Executing an End-of-Year Fundraising Campaign.”
*Joe Bergantino, NECIR “Converting Audience Engagement into Financial Support”
",Golden Gate B,http://ire.org/events-and-training/event/975/1500/
,Rapid data publishing with Caspio  (Hosted by Caspio),2014-06-26,1:30 p.m.,2014-06-26,3:20 p.m.,Edward Garcia,"This session is a repeat of the 9 a.m. introductory training for those new to Caspio. Learn how to import a public data set (Census, crime, health inspections, etc.) and quickly build an interactive searchable web app for your website. Topics covered: Importing data; Creating a searchable database; Report interfaces and layouts; Embedded deployment on your website. 
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
",Nob Hill D,http://ire.org/events-and-training/event/975/1480/
tableau,Tableau Public for pros (Hosted by Tableau),2014-06-26,1:30 p.m.,2014-06-26,5:30 p.m.,Jewel Loree,"Take your data visualization skills to the next level.  In this class we'll push Tableau's capabilities further to create more complex visualizations.  You'll learn how to: Clean and format dirty data, use multiple data sources in the same visualization, build more advanced visualizations and employ advanced interactive elements. 
Tableau Public is a free tool for journalists.  Class participants should have some experience with Tableau or have taken the morning beginner course.  Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend the class.  Limited seats are available.  Register for this training today.
",Nob Hill C,http://ire.org/events-and-training/event/975/1477/
,IRE Board Meeting,2014-06-26,2:00 p.m.,2014-06-26,6:00 p.m.,TBA,"The IRE Board of Directors will meet at 2 p.m. Thursday in San Francisco as part of the annual conference. The meeting is open to all IRE members.
",Pacific C,http://ire.org/events-and-training/event/975/1465/
,Complaints: A roadmap for killer stories,2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Brandon Stahl, Joce Sterman, Tisha Thompson","You've got a tip, a gut feeling. You just know it's happening to others but you need the meat. Delve into the world of consumer complaints and all the glorious goodies they contain. We'll show you the different kinds of complaints that are out there, how to find them and how to use them.
 
",Salon 7,http://ire.org/events-and-training/event/975/1297/
,The Kingmakers: Tracking money and influence in politics,2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Jack Gillum, Viveca Novak, Michael Beckel","*Moderated by Christopher Schnaars, USA TODAY
The campaign machinery for Mitt Romney and Barack Obama pumped $2 billion into their war chests. Super PACs collected two-thirds of their haul -- more than $800 million -- from just 150 donors. Now Democrats and Republicans are locking horns for control of Congress. What people and groups are fueling the midterm elections? We'll show you how to combine quick analysis of campaign-finance data with good ol' shoeleather reporting to find and craft smarter stories.
",Salon 12-13,http://ire.org/events-and-training/event/975/1377/
,The media's role in reporting wrongful convictions  (Sponsored by Criminal Justice Journalists),2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Jim Dwyer, Ted Gest, David Krajicek, Maurice Possley","*Moderated by Ted Gest, Criminal Justice Journalists
Some of the most dramatic stories in criminal justice involve wrongful convictions. How should a reporter pursue an allegation of a wrongful conviction? What are the pitfalls? Hear from one reporter who wrote a book about the science behind errors in the courtroom, another who is an expert on the National Registry of Exonerations and a third who has explored the problem of media's taking the prosecutor's point of view when faulty cases are filed.
",Salon 1-3,http://ire.org/events-and-training/event/975/1299/
,Broadcast: Joint investigations,2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Cindy Galli, Stephen Stock, Jim Strickland, Matt Drange","They seem to be popping up more and more among the national journalism award winners: Collaborations between different media partners to cover a difficult story and reveal details most might think impossible to uncover. Why do they do it? Why team up with someone else? How do they do it? What's in it for my organization? Why even consider it? This panel will answer those questions and more. We'll have tipsheets and examples of what works and what doesn't. We'll showcase successful (and even some not so successful) partnerships between different media partners to help you begin planning your next big investigation.
",Club Room,http://ire.org/events-and-training/event/975/1341/
