Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,CAR Conference registration (Wednesday),2019-03-06,3:00 pm,2019-03-06,6:00 pm,False,"CAR Conference registration will be located in Salon EF on the lobby level of the Newport Beach Marriott.
",Salon EF,False
,CAR Conference sales (Wednesday),2019-03-06,3:00 pm,2019-03-06,6:00 pm,False,"Stop by the CAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the T-shirt contest.
",Salon EF,False
,CAR Conference registration (Thursday),2019-03-07,7:30 am,2019-03-07,6:00 pm,False,"CAR Conference registration will be located in Salon EF on the lobby level of the Newport Beach Marriott.
",Salon EF,False
,CAR Conference sales (Thursday),2019-03-07,7:30 am,2019-03-07,6:00 pm,False,"Stop by the CAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the T-shirt contest.
",Salon EF,False
,International meet & greet **invitation-only event,2019-03-07,7:30 am,2019-03-07,8:15 am,False,,Baycliff,False
,Welcome first-timers,2019-03-07,8:30 am,2019-03-07,8:50 am,False,"Doug Haddix of IRE and NICAR; Denise Malan of IRE and NICAR - Welcome to the conference! Hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.
 | URL: http://ire.org/events-and-training/event/3433/4349/",Salon C,False
tableau,An introduction to data visualization with Tableau (Hosted by Tableau),2019-03-07,9:00 am,2019-03-07,10:00 am,False,"Florian Ramseger of Tableau Software; Jonni Walker of Tableau Software - Skill level: Beginner.
Participants will get an introduction to Tableau and the Tableau Public platform. In this hands-on session, we will use a simple data set to create an interactive visualization ready for publication. We will look at how to quickly create maps in Tableau and how to make the final chart responsive so it can be seen on different devices.
Software, data files and laptops are provided for the duration of the class. In the course of the session we will create a free account on Tableau Public.
 | URL: http://ire.org/events-and-training/event/3433/4283/",Coral Cove - conference level,False
,Archiving digital journalism,2019-03-07,9:00 am,2019-03-07,10:00 am,False,"Katherine Boss of New York University; Ben Welsh of Los Angeles Times - Digital journalism is disappearing. Chances are, if you read a cool piece of interactive journalism on the web today, that same story won't be online in two years. How can we stop this erosion? How can you, as an individual journalist, make sure that your clips remain available online after you switch jobs? In this panel, journalists and librarians will explain how tools borrowed from libraries and from the field of reproducible scientific research can help ensure that we'll be able to read today's news on tomorrow's computers. We'll talk about ways to use the most popular online archiving site, the Internet Archive; we'll talk about simple strategies for saving visual journalism, and we'll give an update on an exciting new project to preserve news apps.
 | URL: http://ire.org/events-and-training/event/3433/4160/",Salon A&B,False
spreadsheets,Excel 1: Getting started with spreadsheets,2019-03-07,9:00 am,2019-03-07,10:00 am,False,"Stephanie Lamm of The Dallas Morning News - In this introduction to spreadsheets, you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median.
This session is good for: Data beginners.
 | URL: http://ire.org/events-and-training/event/3433/4249/",Salon 3,False
,Finding the story: Open policing data,2019-03-07,9:00 am,2019-03-07,10:00 am,False,"Dan Jenson of Stanford Computational Policy Lab; Cheryl Phillips of Stanford University; Amy Shoemaker of Stanford Computational Policy Lab - Researchers at Stanford University have collected and examined the records from millions of local police stops in more than 50 cities. Using the programming language R, learn how to analyze this local policing data and find patterns for stories.
This session is good for: People who have worked with data (or R) and want to learn how to analyze police data.
 | URL: http://ire.org/events-and-training/event/3433/4238/",Sapphire Cove - conference level,False
