Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Conference registration (Wednesday),2017-03-01,1:00 p.m.,2017-03-01,5:00 p.m.,False,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,False
,Techraking <=19: Bootstrapping the News (Sponsored by Reveal from The Center for Investigative Reporting),2017-03-01,1:00 p.m.,2017-03-01,5:00 p.m.,False,"Michael Corey, Eric Sagara, Scott Pham, Emmanuel Martinez - Register now!
Give us four hours and your laptop, and we'll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.
One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran programmers and data crunchers from Reveal from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we'll introduce crucial programming concepts and tools and -- most importantly -- why we use them.
You'll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.
Target audience: People with no or minimal exposure to programming who need a jumping off point to get their feet wet so they are prepared for programming classes at the conference.
Requirements to attend: Laptop with administrative privileges
Minimum technical specifications: Windows: Version 7 or higher; Mac: OS 10.9 (Mavericks) or higher. 4 GB of RAM, 15 GB of free hard-drive space. English layout keyboard strongly preferred. (Other layouts may work, but we've had trouble with certain characters in the past and our ability to provide tech support will be limited.)
Participants will walk away with a fully functioning dev machine (on their personal laptop) that includes: VirtualBox, Ubuntu/Xbuntu, Bower, csvkit, Django, Fabric, Git, Grunt, Ilene, MySQL, Node.js, NPM, PostgreSQL, PostGIS, PANDAS, Python, QuantumGIS, R, RBENV, Rails, Ruby, SQLite, Tabula, virtualenv/virtualenvwrapper
Additional details including the schedule for the workshop can be found on the conference website.
*Basic Schedule:*
*1-5 p.m.*
I. Programming: Why should you care?
II. What we're about to install
III. Installing VirtualBox and Ubuntu
IV. Brief overview of stuff you got with your install
V. Using your new powers
  A. Navigating the command line
  B. Updating/installing software with apt
  C. Working with open-source software
  D. Basic version control (git)
  E. How to get help
5 p.m. Beer/mingling (Location: Fionn MacCool's)
Register for this workshop.
 | URL: http://ire.org/events-and-training/event/2702/2897/",River Terrace 3,False
,Conference sales (Wednesday),2017-03-01,1:00 p.m.,2017-03-01,5:00 p.m.,False,"Stop by the NICAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the NICAR T-shirt contest. 
",3rd floor - Skybridge,False
,Gentrification clues: Datasets that predict urban upheaval (Sponsored by Donald W. Reynolds National Center for Business Journalism),2017-03-01,2:00 p.m.,2017-03-01,5:00 p.m.,False,"Evan Wyloge - Free pre-conference workshop on Wednesday, March 1 from 2-5 p.m.
Evan Wyloge, senior reporter at AZCIR (the Arizona Center for Investigative Reporting) has spent a decade focusing on accountability and watchdog reporting, with an emphasis on data analysis. In this workshop, he will identify disparate datasets that allow reporters to analyze the evolving economic landscape of metro areas.
Population density, incomes and property values, the overall volume of economic activity, and racial and ethnic diversity are all clues that can help reporters understand the dynamic shift toward a more urbanized population. Wyloge will show you how to navigate surprising databases and mine the key points to develop insightful stories on the future of your community.
This pre-conference workshop is produced by the Donald W. Reynolds National Center for Business Journalism.
 | URL: http://ire.org/events-and-training/event/2702/2898/",River Terrace 2,False
,International meet and greet *invitation only,2017-03-02,7:30 a.m.,2017-03-02,8:15 a.m.,False,,River Terrace 2,False
,Conference sales (Thursday),2017-03-02,7:30 a.m.,2017-03-02,6:00 p.m.,False,"Stop by the NICAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the NICAR T-shirt contest. 
",3rd floor - Skybridge,False
,Conference registration (Thursday),2017-03-02,7:30 a.m.,2017-03-02,6:00 p.m.,False,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,False
,Welcome and overview of the conference,2017-03-02,8:30 a.m.,2017-03-02,8:50 a.m.,False,"Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Jacksonville. We'll also give you a brief rundown on some of the resources IRE has to offer.
**Speakers are IRE/NICAR Staff
",Conference Center B,False
,Year in CAR,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Lauren Grandestaff, Kaitlin Washburn - What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time. This session is good for: Anyone.
 | URL: http://ire.org/events-and-training/event/2702/2899/",River Terrace 3,False
,What the hell is R? And all the other questions youâre afraid to ask,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Sisi Wei, - Ever wondered what people are talking about at this conference? What exactly is R and why you would want to use it? What is the difference between Ruby, Python and Javascript? And why is there a J in front of Query? How do you even pronounce PostgreSQL? Welcome to our no-judgment-starting-at-step-zero session even NICAR vets can use. We'll review tech concepts and jargon you'll likely hear at NICAR this year, explain what they mean, why they're useful and point you to the sessions that can teach you the terms you now understand.
This session is good for: Anyone who has felt lost in the sea of technical terminology.
 | URL: http://ire.org/events-and-training/event/2702/3090/",Conference Center B,False
maps,Map camp: QGIS (intermediate) *pre-registered attendees only,2017-03-02,9:00 a.m.,2017-03-02,5:45 p.m.,False,"David Herzog, Jennifer LaFleur - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp.
IRE and NICAR trainers conduct this hands-on training using the latest version of QGIS, open source-software that runs on all platforms. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You'll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. 
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: Participants should have basic knowledge in using relational database programs such as Microsoft Access, MySQL or SQLite.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/2702/2883/",City Terrace 9,False
python,PyCAR (beginner) *pre-registered attendees only,2017-03-02,9:00 a.m.,2017-03-02,12:30 p.m.,False,"Adriana Homolova, Tom Meagher, Roberto Rocha, Eric Sagara, Elaine Wong, Heather Battaglia, Chris Keller - This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the web, inserting it in a database and analyzing the results.
Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: Attendees should have familiarity with the command line and are comfortable with databases and SQL.
Workshop times are Thursday 9 a.m. - 12:30 p.m. continuing Friday morning from 9 a.m. - 12:30 p.m. (Note: Registration for this session reserves your seat for both days of this workshop.  Attendees are expected to attend both session to complete this workshop).
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/2702/2878/",City Terrace 5,False
,Conversations: Journalism's bottom line (Sponsored by SRCCON - OpenNews),2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Janelle O'Dea - This conversation will brainstorm coping strategies and solutions for working in corporate news and the roadblocks that come with it. How do we deal with the push to focus on ""click bait"" material, or doing just about anything to get more web traffic? The focus on boosting web traffic eats up time that could be spent on other important coverage and seems to at times detract from the mission. In newsrooms across the country, money has become so tight that it rules everything that we do. It shouldn't, but it does affect coverage. What's the point of boosting web traffic if we aren't really fulfilling the real purpose of journalism, which is watchdogging and being the fourth estate? This conversation will allow journalists who struggle with these issues to connect and think of creative ways to deal.
 | URL: http://ire.org/events-and-training/event/2702/2974/",City Terrace 12,False
"python, web development","Programming for humans, in Python (intermediate/advanced) *pre-registered attendees only",2017-03-02,9:00 a.m.,2017-03-02,5:45 p.m.,False,"Jeremy Bowers, Serdar Tumgoren - You've written a few Python scripts that get the job done, but the initial euphoria has worn off. Your code is hard to understand. Bugs are cropping up. Worse, you can't always explain your process or results to an editor — or yourself. There must be a better way, but the path forward is not clear. If you've had that itchy feeling, this full-day, hands-on workshop is for you. After mastering the basics of writing code, you need to understand how to design programs. To that end, this class will explore Python language features that will help you write readable, reliable and reusable code.
Preregistration is required and seating is limited. 
**Attendees must bring a laptop and charger to the training.
Workshop prerequisites: Experience with basic Python language features like variables, data types, conditionals and functions are required.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/2702/2880/",City Terrace 7,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2017-03-02,9:00 a.m.,2017-03-02,10:30 a.m.,False,"Ben Jones - Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to: 
*Connect to Excel files and other data 
*Create maps and charts 
*Make them interactive 
*Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available. There may be a few seats available on-site.
Register for this class.
 | URL: http://ire.org/events-and-training/event/2702/3015/",City Terrace 4,False
,Google Earth,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Nassos Stylianou, Ed Lowther - Find out how to make simple flyovers with Google Earth – a great way to make bespoke video content that you can weave into your visual journalism storytelling. This session should be fine for anyone, though some experience using Google Earth may come in handy.
 | URL: http://ire.org/events-and-training/event/2702/3059/",City Terrace 6,False
spreadsheets,Excel for business & economics,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Aaron Kessler - Whether you just started using Excel or it's been your companion for years, chances are there's a lot it can do that you've never realized. We sometimes think of Excel as the stepping stone to database managers like Access or SQL Server, and overlook just how powerful its tools can be -- especially if you're covering business and economics. Come find out why Excel is still so popular in the business world and we'll unlock some of its secrets. The people you're covering know these tricks - you should too.
This session is good for: People who understand Excel basics but want to unlock powerful functions for analyzing businesses.
 | URL: http://ire.org/events-and-training/event/2702/2931/",City Terrace 11,False
,Carto maps,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"CJ Sinner - If you're looking for an interactive mapping tool that doesn't require coding, Carto, formerly known as CartoDB, is a great option. We'll explore the user interface of this web-based tool, walk through examples of both point and polygon maps, and touch base on some presentation-polishing pro-tips.
 | URL: http://ire.org/events-and-training/event/2702/3058/",City Terrace 8,False
,Security tools for journalists,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Olivia Martin, Mike Tigas - With new threats posed daily to our ability to communicate with sources securely, maintain trust in our devices and research privately, it can feel impossible to know where to start with protecting your digital security. This demo, led by technologists and educators in the field, aims to teach journalists of any knowledge base how to identify their unique threat model and develop a security protocol — regarding secure communication, data storage, and browsing — accordingly. From addressing low-hanging fruit to mitigating sophisticated threats, the tools discussed in this session will introduce journalists to essential concepts in digital security and privacy.
 | URL: http://ire.org/events-and-training/event/2702/2965/",River Terrace 2,False
,Intro to commandline (PC),2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Mike Stucka - If you've never touched the little black box on your computer known as the command line, you're ignoring an extremely helpful tool. In this session, you'll learn how to make the command line work for you and make it become a handy tool in your data toolbelt.
This session is good for: Newbies to the command line who are brave enough to dive into the guts of their computer. This is geared toward Windows, but much of it translates to Macs.
 
 
 | URL: http://ire.org/events-and-training/event/2702/3060/",City Terrace 10,False
,Algorithmic accountability,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Julia Angwin, Nick Diakopoulos, Sam Corbett-Davies, Greg Linch - Algorithms are increasingly used throughout the public and private sectors, making decisions that impact people's lives in myriad ways. Algorithmic accountability reporting is an emerging set of methods for investigating how algorithms exert influence and power in society. In this session we'll detail concrete investigations in this domain and discuss strategies, methods, and techniques for pursuing algorithmic accountability reporting.
**Moderated by Greg Linch, McClatchy
 | URL: http://ire.org/events-and-training/event/2702/3032/",Conference Center A,False
,"Working together without sitting together: Building happy, productive distributed teams",2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,False,"Ryan Pitts, Julia Smith, Chris Canipe - How do you communicate when you or other members of your team are in different cities? Email, phones and Slack are great tools. But how do you stay abreast of progress and ideas without the casual connections and serendipity that happen when you share the same space? In this panel, we'll talk about our experiences working remotely and the tools, processes and team-building techniques that help make it work.
 | URL: http://ire.org/events-and-training/event/2702/3109/",River Terrace 1,False
javascript,Practical data viz in JavaScript,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Maureen Linke - Learn how to use JavaScript, HTML, and CSS to build practical visualizations for your data. We'll cover how to make some essential chart/visualization types and go over data visualization best practices.
 | URL: http://ire.org/events-and-training/event/2702/3081/",City Terrace 8,False
,Educator huddle: Let's discuss the future,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Cheryl Phillips, Brant Houston - Come participate in a session to come up with an ideal data journalism curriculum across universities and programs. This will go beyond a panel session and focus on concrete ideas and proposals that you can take back and begin to put into place. We will use the wisdom of educators and journalists in the room to lay out best practices and the route to them.
 | URL: http://ire.org/events-and-training/event/2702/3045/",Conference Center B,False
,Conversations: NICAR freelancers (Sponsored by SRCCON - OpenNews),2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Samantha Sunne - Freelance journalists and programmers, let's put our heads together! We'll have an informal chat about the joys and tribulations of being self-employed in the world of cutting-edge journalism. Hopefully, we'll trade some new tips and make some new friends. If you're thinking about going freelance, this may be a good session for you, too!
 | URL: http://ire.org/events-and-training/event/2702/2975/",City Terrace 12,False
,Investigating hacking and data breaches,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Julia Angwin, Sri Sridharan, Megan Luther - **Moderated by Megan Luther, IRE/NICAR
 | URL: http://ire.org/events-and-training/event/2702/3033/",Conference Center A,False
statistics,Basic stats in R (advanced),2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Jeff Larson - Learn how to analyze data through methods grounded in statistical theory. Those familiar with R will be introduced to significance tests, risk ratios, various distributions and more.
 | URL: http://ire.org/events-and-training/event/2702/2932/",City Terrace 10,False
,Sports data: How to play money ball,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Steve Doig, Paula Lavigne, John Templon -  | URL: http://ire.org/events-and-training/event/2702/3019/",River Terrace 3,False
,Good things come to those who weight: Conduct more reliable surveys using Veracio,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Heather Krause, Neal Rothleder - Most surveys consist of informal, crowd-sourced data. While this data is valuable, it's often mathematically flawed when demographic and socioeconomic factors are not considered. Our survey tool Veracio automatically weights your responses based on census demographics to produce more accurate data. Join us for our session to learn more about the importance of weighting, how weighting works in Veracio, and how to use the tool to inform your reporting.
 | URL: http://ire.org/events-and-training/event/2702/2901/",River Terrace 2,False
web development,GitHub for journos,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Hector Alfaro - What is Git? What is GitHub? Why should I care? In this session, we'll answer these questions and tap into why developers think GitHub is the best collaboration platform in the world. You'll learn how to navigate your way around GitHub.com and use it to find incredible projects.
 | URL: http://ire.org/events-and-training/event/2702/3061/",City Terrace 6,False
spreadsheets,Useful Excel functions for journalists,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Juan Lyon - Much of Excel power comes in the form of functions. In this session, you will learn about commonly used functions, including how to use them to analyze data with the eye of a journalist. We will see functions as if and his relatives sumif, countif, sumifs, and more. Also we will see some other useful functions to arrange and clean data like trim, concatenate and vlookup.
This session is good for: Journalists who want to dig deeper into Excel functions. (Journalists who want to see a little more Excel) 
 | URL: http://ire.org/events-and-training/event/2702/2933/",City Terrace 11,False
,Packaging data stories for digital,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,False,"Ashlyn Still, Richard Watkins, Brittany Mayes, Sarah Hutchins - You found a data set. You reported out a story. You double-checked your math. Now it's time to get your findings online. If this sounds like your workflow, our session is for you. A team of news app designers and developers will deconstruct some of their favorite data-heavy projects and explain how it all came together. You'll leave with ideas for how to make digital presentation the star of the show – not an afterthought.
**Moderated by Sarah Hutchins, IRE/NICAR
 | URL: http://ire.org/events-and-training/event/2702/3046/",River Terrace 1,False
tableau,Show where the story is happening with maps in Tableau Public (Hosted by Tableau),2017-03-02,11:00 a.m.,2017-03-02,12:30 p.m.,False,"Jenny Richards - Maps are where it's at, and with the addition of spatial file support you can viz outside the box too. In this session you will learn different methods for building maps in Tableau Public. We will teach you how to:
*determine what kind of mapping data you're looking at
*take advantage of spatial file support in Tableau Public
*beautify maps with built-in and Mapbox-supported backgrounds
*integrate maps into your dashboards
*utilize design and layout best practices to make sure that your visualization looks polished and professional
Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available. There may be a few seats available on-site.
Register for this class.
 | URL: http://ire.org/events-and-training/event/2702/3016/",City Terrace 4,False
,The election data you should be paying attention to,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Rachel Shorey, Derek Willis, Daniel Smith - Election data isn't just results. Come learn about other datasets that help journalists and academics understand elections from people who use them. We'll discuss voter files, election administration data and other sources, plus how to collaborate with researchers who already work in this area.
 | URL: http://ire.org/events-and-training/event/2702/2903/",River Terrace 1,False
,Finding narratives in the numbers,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Reade Levinson, Shawn McIntosh, -  | URL: http://ire.org/events-and-training/event/2702/3114/",Conference Center B,False
,Better than average: Working with high-dimensional data,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Holly Hacker, Paul Overberg, Larry Fenn -  | URL: http://ire.org/events-and-training/event/2702/3034/",Conference Center A,False
statistics,Advanced stats in R: Linear and logistic regression (advanced),2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Jeff Larson - Continue learning statistical analysis methods in R with lessons in linear regression and logistic regression analyses.
 | URL: http://ire.org/events-and-training/event/2702/2934/",City Terrace 10,False
,Structuring your data the right way the first time,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,Sandhya Kambhampati -  | URL: http://ire.org/events-and-training/event/2702/2904/,River Terrace 2,False
,Stories waiting to be told with housing data,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Tim Henderson, Skylar Olsen -  | URL: http://ire.org/events-and-training/event/2702/2902/",River Terrace 3,False
spreadsheets,OpenRefine,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Nils Mulvad, Robert Gebeloff - OpenRefine is the best tool to clean really dirty data — the kind of data in which the same name might be spelled in 30 different ways. It has built-in cleaning tools for analysts and journalists.
 | URL: http://ire.org/events-and-training/event/2702/2971/",City Terrace 11,False
python,Agate for data analysis in Python,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,False,"Christopher Groskopf, Neil Bedi - In this hands-on session we'll introduce you to programmatic data analysis with the agate module for Python. We'll go through the basics—reading CSV files, transforming data, and running basic statistical analysis—while leaving plenty of room for your questions. This session is ideal for folks with some Python experience, especially those who've reached the limits of what they can do with tools like csvkit, but find pandas and numpy bewildering.
 | URL: http://ire.org/events-and-training/event/2702/3062/",City Terrace 8,False
