Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Techraking 21: Bootstrapping the news (Sponsored by Reveal from The Center for Investigative Reporting),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,False,"Michael Corey, Eric Sagara, Emmanuel Martinez - Register for this event here.
Give us four hours and your laptop, and we'll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.
One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran programmers and data crunchers from Reveal from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we'll introduce crucial programming concepts and tools and -- most importantly -- why we use them.
You'll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.
 | URL: http://ire.org/events-and-training/event/3189/3509/",Denver/Houston/Kansas City,False
,CAR Conference Registration (Wednesday),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,False,"CAR Conference registration will be located on the 7th Floor of the Chicago Marriott Downtown Mag Mile. 
",7th Floor Registration,False
,CAR Conference Sales (Wednesday),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,False,"Stop by the CAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the T-shirt contest.
",7th Floor Foyer,False
,Using OpenCorporates to investigate companies,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,False,"Mollie Hanley - OpenCorporates is the largest open database of companies in the world, enabling simple, powerful searching of over 137 million companies (and counting). Their data is core infrastructure for journalists, alongside NGOs, governments and businesses working to uncover company information. In this session, they'll be opening up their knowledge and presenting tips and tricks to allow you to make the most of your investigations.
 | URL: http://ire.org/events-and-training/event/3189/3697/",Clark,False
,Google Sheets: Using advanced functions,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,False,"Olga Pierce - Google Sheets has finally matured as a useful tool for advanced journalism tasks. Learn advanced uses like joining tables, conducting statistical tests, making simple linear regressions and using Sheets as a backbone for web applications.
This session is good for: People who are familiar with advanced data journalism techniques but need a portable and collaborative solution.
 | URL: http://ire.org/events-and-training/event/3189/3639/",Indiana/Iowa,False
