Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Welcome first-timers: Get a button and conference tips,2018-06-14,8:30 a.m.,2018-06-14,8:50 a.m.,False,"Denise Malan, Doug Haddix - Welcome to the conference! Get a special button for first-time attendees and hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.
 | URL: http://ire.org/events-and-training/event/3190/4005/",Crystal AB,False
,Work Better Track: How to learn from a fail,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Ziva Branstetter, Adam Playford, Tyler Dukes - Investigative work is often complex, detail-oriented and executed over weeks or months. Without a system in place to prevent errors along the way, these factors that can contribute to mistakes in your final product and undermine your impact. To guard against errors, you'll need to take concrete steps to ensure accuracy during every step of the reporting process. We'll show you our tried and true methods — including document corroboration, source vetting, script footnoting and final accuracy checks — for inoculating stories from errors. And because mistakes do happen, we'll detail what we've learned from our own missteps and discuss how to respond responsibly and with transparency. 
 | URL: http://ire.org/events-and-training/event/3190/3813/",Oceans 5-7,False
,Better journalism through memory: The Wayback Machine and the history of the Web (Sponsored by Knight Foundation),2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Mark Graham - As numerous events over the past year have demonstrated the usefulness and importance of the web and other digital media archives, and the Wayback Machine, in particular, is growing.
Mark Graham will explain these topics and provide real-world examples of various ways journalists and investigators can use the Wayback Machine to help answer questions and gather evidence to back-up claims. Participants will gain actionable experience they can immediately apply to their jobs. At the same time, we will collectively explore new services the Internet Archive might explore and develop, to advance our mission of helping to make the Web more useful and reliable. In addition, we will explore how the Internet Archive's TV News archive can help journalists by giving them the ability to interface with video as data, and conduct research and analysis that was so difficult it was nearly impossible just two years ago. 
 | URL: http://ire.org/events-and-training/event/3190/3816/",Oceans 9-10,False
tableau,Preparing data for analysis with Tableau Prep (Hosted by Tableau),2018-06-14,9:00 a.m.,2018-06-14,10:30 a.m.,False,"Scott Teal - Getting data in a useful form can be a complicated and time-consuming process, often requiring specialized skills. Tableau Prep has customized visual experiences to make common yet complex tasks simple. We'll teach you how to:
Some experience with Tableau is recommended but not required. Attending one of the earlier Tableau sessions should suffice. Laptops will be provided. This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available.  There may be a few seats available on-site.
 | URL: http://ire.org/events-and-training/event/3190/4010/",Coral A,False
,On the beat: Investigating healthcare in your town and across the country,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Rebekah Allen, Ellen Gabler, Christina Jewett, Mike Baker - Healthcare is ripe with stories but also ripe with reporting roadblocks. We will talk about how to get the story even if everyone is citing HIPAA. Learn about where to turn for documents and data, how find people who have been harmed and spotting when political influence is affecting health policy.
 | URL: http://ire.org/events-and-training/event/3190/3814/",Crystal AB,False
,Year in investigations,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Mark Walker, Sarah Hutchins - Pick up some story ideas and get inspired by some of the year's best investigations.
 | URL: http://ire.org/events-and-training/event/3190/3805/",Oceans 4,False
spreadsheets,Excel 1: Getting started,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"James Pilcher - In this introduction to spreadsheets, you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it, filter it and conduct simple calculations like sum, average and median.
This session is good for: Data beginners.
 | URL: http://ire.org/events-and-training/event/3190/3931/",Coral B,False
,Broadcast Show & Tell - Thursday #1 (Sponsored by Napoli Management Group),2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Patti Dennis - **Moderated by Patti Dennis, TEGNA Inc.
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes.
Sign-ups open June 4, and additional slots will become available the afternoon of June 13. 
 | URL: http://ire.org/events-and-training/event/3190/3991/",Crystal D,False
,Radio deep dives,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Nicole Beemsterboer, Alex Hall, Tony Schick - A deep dive into how some of the biggest radio stories of the year came to fruition. 
 
 | URL: http://ire.org/events-and-training/event/3190/3886/",Crystal E,False
,Broadcast Track: Best of broadcast (Sponsored by National Association of Broadcasters),2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,False,"Lee Zurik - Watch and listen as the photographers, editors, reporters and producers behind this year's IRE Award winners and finalists explain how they did it, what they would do differently and what they were really thinking when things got hard.
 | URL: http://ire.org/events-and-training/event/3190/3815/",Crystal C,False
