Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Finding the story: The Census,2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Paul Overberg - We&rsquo;ll start with a typical journalistic frame: Post-recession, your community faces heavy social strain. How do you tell that story in new ways, accurately, in context, out through the ripples? We&rsquo;ll work through critical prep, then how to get and interview the data. To get the most from this session, you should have some experience working with data in spreadsheets. | URL: http://ire.org/events-and-training/event/1574/2032/",Room 401,False
,"Analytics to find and grow your audience, from the reporter&#39;s perspective (Sponsored by Knight Foundation)",2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Rachael Delgado, Benjamin Herold - Working journalists are increasingly responsible not just for reporting the news, but for making sure readers can find and engage with our work online and via social media. Newsrooms have more data than ever to help us fulfill these new responsibilities, and there has been a flourishing of new ideas and digital tools aimed at helping us better use that information. But a big disconnect remains. How can everyday reporters keep up with all the changes, without making ourselves miserable? Education Week staff writer Benjamin Herold and Director of Knowledge Services Rachael Delgado will share their process for using analytics to grow the readership of Ed Week's Digital Education blog by more than 90% - and produce smarter, more timely content in the process.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2112/",Franklin 7,False
,"Covering policing, from shootings to community relations (Sponsored by Criminal Justice Journalists)",2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: William Freivogel, Coulter Jones, Jeremy Kohler, Robert O&#39;Harrow, Nancy Phillips - **Moderated by Nancy Phillips, The Philadelphia Inquirer | URL: http://ire.org/events-and-training/event/1574/1899/",Franklin 1&amp;2,False
,On The beat: Business (Sponsored by Bloomberg),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Brian Fechtel, Cary Spivak, Jason Zweig, Daniel Gilbert - **Moderated by Daniel Gilbert, The Wall Street Journal | URL: http://ire.org/events-and-training/event/1574/2029/",Franklin 5&amp;6,False
,Getting data from the web: From the quick grab to the intricate scrape (Sponsored by Knight Foundation),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Samantha Sunne, Matt Wynn | URL: http://ire.org/events-and-training/event/1574/2003/",Franklin 7,False
,Broadcast: Interviews that work,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Wendy Halloran, Tony Kovaleski, Noah Pransky | URL: http://ire.org/events-and-training/event/1574/1901/",Franklin 9&amp;10,False
,How to sort out science for your investigation,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Jeff Donn, Jon Kamp, Kendall Taggart, Ellen Gabler - **Moderated by Ellen Gabler, Milwaukee Journal Sentinel | URL: http://ire.org/events-and-training/event/1574/1902/",Salon K,False
,Show &amp; Tell (Thursday - #2),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Anzio Williams - **Moderated by Anzio Williams, WCAU-Philadelphia | URL: http://ire.org/events-and-training/event/1574/2061/",Franklin 8,False
,The right to photograph &amp; record in public: On the ground &amp; in the air,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Mickey Osterreicher - Ever since 911 there has been a heightened awareness of anyone taking pictures or recording events in public. This issue has only been exacerbated by the widespread proliferation of cellphone cameras and the ability of everyone to post photos and recordings on the Internet, where they may be viewed and shared. Video recordings of police have played an integral role in many recent news stories, but questions still remain about the rights of citizens and journalists to photograph and record in public. This session will examine constitutional issues, search and seizure, exigent circumstances, and qualified immunity as well as provide practical advice regarding the best ways to handle these situations. There will also be discussion of privacy concerns, police bodycams and the latest legal updates on use of drones for newsgathering. | URL: http://ire.org/events-and-training/event/1574/1903/",Salon L,False
,"INN: Mergers, acquisitions and memos of understanding",2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Joe Bergantino, Margaret Freivogel, Andy Hall, Lorie Hearn, Laura Frank - **Moderated by Laura Frank, Rocky Mountain PBS | URL: http://ire.org/events-and-training/event/1574/2116/",Room 414-415,False
,Make Photoshop work for you,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,Speakers: Lena Groeger | URL: http://ire.org/events-and-training/event/1574/2033/,Room 401,False
,What the hell is R and all the other questions you&#39;re afraid to ask,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Speakers: Tisha Thompson, Sisi Wei | URL: http://ire.org/events-and-training/event/1574/1900/",Franklin 3&amp;4,False
tableau,Advanced design and interaction in Tableau Public (Hosted by Tableau),2015-06-04,11:00:00 a.m.,2015-06-04,12:30 p.m.,False,Analyzing data and coming up interactive visualizations is easy in Tableau but sometimes getting everything looking polished isn&rsquo;t. In this session you will learn how to break away from the default formatting in Tableau Public to create interactive data graphics that match your style guides and engage your readers.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2077/,Room 404,False
,Designing database applications to increase page views and ad revenues,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Edward Garcia - With journalists facing increasing pressure to create data interactives that engage more readers, it&rsquo;s important to optimize data-driven applications for interactivity, traffic and page views. Learn how to design and deploy revenue-generating applications that will continue to serve as long-lasting data assets. This demo will showcase real-world examples and techniques for building &ldquo;share-worthy&rdquo; hyper-local applications. Technologies covered: Caspio, Google maps, GPS and location proximity, AJAX, CDN, data feeds, SEO, and cross-channel deployment (web, mobile and social). | URL: http://ire.org/events-and-training/event/1574/2034/",Room 401,False
,Consumer investigations,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Jim Donovan, Cindy Galli, Randy Mac - It&rsquo;s the news everyone can use. Consumer investigations give your viewers and readers high value when we take special interest in their safety and their wallets. So how do we make them unique? This panel will take you through best practices to organize, wade through and advance consumer investigations. We&rsquo;ll talk laws, finding sources, and backgrounding and approaching businesses. Plenty of links and story ideas, too. | URL: http://ire.org/events-and-training/event/1574/1896/",Franklin 9&amp;10,False
,A conversation with Seymour Hersh,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Seymour Hersh, Leonard Downie, Jr - **Moderated by Leonard Downie, Jr., ASU Walter Cronkite School of Journalism | URL: http://ire.org/events-and-training/event/1574/1905/",Franklin 1&amp;2,False
,Show &amp; Tell (Thursday - #3),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Patti Dennis - **Moderated by Patti Dennis, KUSA/9News Denver | URL: http://ire.org/events-and-training/event/1574/2062/",Franklin 8,False
,INN: The latest on foundations and grants,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Charles Lewis, Irma Simpson, Brant Houston, Sue Hale - **Moderated by&nbsp;Brant Houston, University of Illinois | URL: http://ire.org/events-and-training/event/1574/2117/",Room 414-415,False
,On the beat: Criminal justice,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Kelvyn Anderson, Alec Klein, Cheryl W. Thompson, John Sullivan - **Moderated by John Sullivan, The Washington Post | URL: http://ire.org/events-and-training/event/1574/1906/",Franklin 3&amp;4,False
,Investigating migration and immigration (Sponsored by Dart Center for Journalism &amp; Trauma),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Melissa del Bosque, Carlos Eduardo Huertas, Sarah Stillman, Bruce Shapiro - **Moderated by Bruce Shapiro, Dart Center for Journalism &amp; Trauma | URL: http://ire.org/events-and-training/event/1574/2109/",Salon K,False
,Uncovering fraud and malfeasance,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Angela Couloumbis, Craig McCoy, Michael LaForgia, Brooke Williams, David Cay Johnston - **Moderated by David Cay Johnston, Newsweek | URL: http://ire.org/events-and-training/event/1574/2099/",Franklin 5&amp;6,False
,Campus coverage: Key data for investigating college sports (Sponsored by Lumina Foundation),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Dan Bauman, Steve Berkowitz, Paula Lavigne, Jill Riepenhoff - **Moderated by Jill Riepenhoff, The Columbus Dispatch | URL: http://ire.org/events-and-training/event/1574/1908/",Salon L,False
,Mobile ready visualizations with Silk (Sponsored by Knight Foundation),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Speakers: Alex Salkever - Silk is an all-purpose tool for data journalism that lets anyone convert spreadsheets into an online database and data visualizations in minutes. In this demo session, we'll pull data about 2015 killings by the police in California, aggregated from Facebook, and turn it into maps, charts, and interactive tables. Then, we'll upload data from the 500 most successful Kickstarter technology projects in 2014, do some quick visual analysis, save and publish visualizations. | URL: http://ire.org/events-and-training/event/1574/1909/",Franklin 7,False
,Lunch on your own (Thursday),2015-06-04,12:30 p.m.,2015-06-04,2:30 p.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2095/,See printed schedule for room information,False
,INN: Lunch and networking on your own,2015-06-04,12:30 p.m.,2015-06-04,2:20 p.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2118/,Room 414-415,False
