Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,IRE Sales Table (Friday),2015-06-05,7:30 a.m.,2015-06-05,6:00:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission. &nbsp;Sales will be located on the 4th floor of the Philadelphia Marriott Downtown. | URL: http://ire.org/events-and-training/event/1574/2090/",Franklin Hall Foyer,False
,"Investigating economic development subsidies: Missing jobs, strained budgets and tense politics (Sponsored by Bloomberg)",2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Alejandra Cancino, Gordon Russell, Lee Zurik, Greg LeRoy - **Moderated by Greg LeRoy,&nbsp;Good Jobs First | URL: http://ire.org/events-and-training/event/1574/1963/",Salon C,False
,Wedgies: Social polling (Sponsored by Knight Foundation),2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,Speakers: Porter Haney | URL: http://ire.org/events-and-training/event/1574/1921/,Franklin 7,False
,How to buy a candidate (Sponsored by Rockefeller Brothers Fund),2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Bill Allison, Edwin Bender, Russ Choma, Michael Beckel - **Moderated by Michael Beckel,&nbsp;The Center for Public Integrity | URL: http://ire.org/events-and-training/event/1574/1922/",Franklin 1&amp;2,False
spreadsheets,Excel 1: Getting started with spreadsheets,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Jill Riepenhoff - In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it, filter it and conduct simple calculations like sum, average and median. | URL: http://ire.org/events-and-training/event/1574/2011/",Room 401,False
,The year in investigative reporting,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Jaimi Dowdell, Mark Horvit - Pick up some story ideas and be inspired with the highlights of some of the year's best investigations. | URL: http://ire.org/events-and-training/event/1574/1939/",Franklin 5&amp;6,False
,Broadcast: Investigative reporting at networks,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Josh Mankiewicz, Ira Rosen, Rhonda Schwartz - What are the stories that matter for network TV and how do you go about getting them?&nbsp; | URL: http://ire.org/events-and-training/event/1574/1951/",Franklin 9&amp;10,False
,Show &amp; Tell (Friday - #1),2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Charlotte Huffman - **Moderated by Charlotte Huffman, KYW/CBS3 Philadelphia | URL: http://ire.org/events-and-training/event/1574/2065/",Franklin 8,False
spreadsheets,Cleaning up data with OpenRefine,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,Speakers: Kate Golden | URL: http://ire.org/events-and-training/event/1574/2020/,Room 404,False
,The other half of the story: How reporters can use data to identify &#39;positive deviants&#39; and add fresh angles to investigative stories,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Greg Borowski, David Bornstein, Tina Rosenberg, Claudia Rowe | URL: http://ire.org/events-and-training/event/1574/1972/",Salon D,False
,Mapping mini camp (pre-registration required),2015-06-05,9:00:00 a.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: David Herzog, Jennifer LaFleur, Brian Peterson - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1892/",Room 402,False
,Geolocation for investigations,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: Jack Gillum, Jan Gunnar Furuly, Jennifer Peck | URL: http://ire.org/events-and-training/event/1574/1984/",Salon E,False
,Management track: Managing the multi-newsroom project,2015-06-05,9:00:00 a.m.,2015-06-05,10:00:00 a.m.,False,"Speakers: John Kelly, Marina Walker Guevara, Richard Pienciak, Ellen Weiss - **Moderated by Ellen Weiss, Scripps Washington Bureau | URL: http://ire.org/events-and-training/event/1574/1936/",Franklin 3&amp;4,False
,Broadcast: How to get people to talk,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Scott Friedman, Keli Rabon, Scott Zamost - Whether it's a top official at the FBI or IRS, the Mormon Church or an accused sex offender, there are proven methods to persuade people to go on camera. We'll reveal the secrets behind landing the interview that no one thought would happen.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1907/",Franklin 9&amp;10,False
,Under pressure: Real life in real time with breaking news,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,Speakers: Stephen Stock | URL: http://ire.org/events-and-training/event/1574/2021/,Room 404,False
,How reporters can best protect themselves and their sources,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Ross Garber, Adam Goldman, Joel Kurtzberg, Mark MacDougall - How do you know if your story might trigger a lawsuit or a leak investigation? Should you keep your notes or throw them out? How much do you tell your editors? Your colleagues? What are best email practices? Do you know what is privilege and who owns it? Hear from top defense lawyers and a Pulitzer-Prize winning investigative reporter who have been embroiled in these toxic investigations.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1937/",Franklin 3&amp;4,False
,Future threats: New avenues of investigative reporting in the fast-changing world of emerging global crises,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Robert Eshelman, Deborah Nelson, Andrew Revkin, Josh Meyer - **Moderated by Josh Meyer, Medill National Security Journalism Initiative | URL: http://ire.org/events-and-training/event/1574/1965/",Salon C,False
,Research independence day: Top 100 tips to liberate your searching,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Barbara Gray, Margot Williams - Muckrakers will leave with a basket full of the latest tools and tricks for public records research, online privacy and advanced search techniques, alerting services and personal web caching and archiving. | URL: http://ire.org/events-and-training/event/1574/1986/",Salon E,False
,"Freelance reporting with impact: How stories get attention, and results (Sponsored by Fund for Investigative Journalism)",2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Isaiah Thompson, Hella Winston, Maria Zamudio, Deborah Nelson - **Moderated by Deborah Nelson, University of Maryland | URL: http://ire.org/events-and-training/event/1574/1941/",Franklin 5&amp;6,False
,Backgrounding,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Kate Martin, James Neff | URL: http://ire.org/events-and-training/event/1574/1930/",Franklin 1&amp;2,False
,"The divide: Race, economics and law enforcement (Sponsored by Temple University School of Media and Communication)",2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Nikole Hannah-Jones, Kimbriell Kelly, Frances Robles | URL: http://ire.org/events-and-training/event/1574/1944/",Salon D,False
,Scripter: The story begins here... (Sponsored by Knight Foundation),2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,Speakers: Altaf Khatri | URL: http://ire.org/events-and-training/event/1574/1998/,Franklin 7,False
,Show &amp; Tell (Friday - #2),2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Jim Strickland - **Moderated by Jim Strickland, WSB-Atlanta | URL: http://ire.org/events-and-training/event/1574/2066/",Franklin 8,False
spreadsheets,Excel 2: Functions and pivot tables,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Speakers: Meredith Broussard - In this class you'll learn how to use formulas to analyze data with the eye of a journalist using calculations like change, percent change and rates. It will also focus on the power of pivot tables for analysis in minutes rather than hours. | URL: http://ire.org/events-and-training/event/1574/2012/",Room 401,False
,Internet site fingerprints: Looking for telltale signs that suggest connections between websites (Sponsored by Knight Foundation),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Griff Palmer - A company presenting itself as a legitimate, global corporate citizen has been described to you by former insiders as an Internet fraud scheme. The former insiders have identified several Web sites that they say are part of the scheme, and have given you rock-solid evidence. Your sources tell you their confirmed sites are part of a much larger network. The company allegedly behind it all has a history of litigiousness, and has gone to great lengths to cover up its alleged ties to the fraudulent network. Griff Palmer will show how widely available Internet tools can help solidify such a story. | URL: http://ire.org/events-and-training/event/1574/1999/",Franklin 7,False
,"Adventures in the oil patch: Fracking, earthquakes and corporate influence",2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Ziva Branstetter, Lisa Song, Mike Soraghan - Join us for a wide-ranging discussion on watchdog stories you can do in your state tracking the influence and impact of the energy industry. We'll tell you how to report on induced earthquakes, spills, oilfield safety, pollution, weak regulation and corporate influence involving oil and gas operations. Whether you live in an oil or gas producing state or not, your readers and viewers are impacted by these issues and we'll tell you how to frame them.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1943/",Franklin 5&amp;6,False
,"Sexual assault investigations: Empathy, accuracy, transparency (Sponsored by Dart Center for Journalism &amp; Trauma)",2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Teresa Braeckel, Sheila Coronel, Steve Coll, Elana Newman, Nicole Noren, Bruce Shapiro - **Moderated by Bruce Shapiro, Dart Center for Journalism &amp; Trauma | URL: http://ire.org/events-and-training/event/1574/1989/",Salon E,False
,Finding the story: Bridge inspections,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,Speakers: Liz Lucas | URL: http://ire.org/events-and-training/event/1574/2022/,Room 404,False
,Broadcast: Visual video toolbox,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Jeremy Jojola, Bryan Staples, Evan Stulberger - You've got a great story. A real blockbuster. Just one problem. There's. No. Video. | URL: http://ire.org/events-and-training/event/1574/1954/",Franklin 9&amp;10,False
,Open records laws: Strategies for successful negotiations,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Hannah Levintova, Joshua B. Pribanic, Carrie McGuire, Terry Mutchler - **Moderated by Carrie McGuire, Office of Government Information Services (OGIS) | URL: http://ire.org/events-and-training/event/1574/2100/",Salon C,False
,Ethnography for journalists: Storytelling and the deep dive,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Sarah Stillman, Paige Williams | URL: http://ire.org/events-and-training/event/1574/1938/",Franklin 3&amp;4,False
,Show &amp; Tell (Friday - #3),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Kevin Keeshan - **Moderated by Kevin Keeshan, NBCUniversal Owned Television Stations | URL: http://ire.org/events-and-training/event/1574/2067/",Franklin 8,False
,Investigating the justice system (Sponsored by Criminal Justice Journalists),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: John Hollway, Beth Hundsdorfer, George Pawlaczyk, John Roman, Douglas Starr, Ted Gest - **Moderated by Ted Gest, Criminal Justice Journalists | URL: http://ire.org/events-and-training/event/1574/1931/",Franklin 1&amp;2,False
spreadsheets,Getting data into Excel,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Patti DiVincenzo - Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel. | URL: http://ire.org/events-and-training/event/1574/2014/",Room 401,False
,Muckraking around the world,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Speakers: Dayo Aiyetan, Wahyu Dhyatmika, Jan Gunnar Furuly, Rana Sabbagh, David Kaplan - **Moderated by David Kaplan, Global Investigative Journalism Network | URL: http://ire.org/events-and-training/event/1574/1976/",Salon D,False
,Lunch on your own (Friday),2015-06-05,12:30 p.m.,2015-06-05,2:30 p.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2096/,See printed schedule for room information,False
,Media lawyers brown bag,2015-06-05,12:45 p.m.,2015-06-05,2:00:00 p.m.,False,"Does your investigation contain complex legal questions? Unsure of how to proceed? During the media lawyers brown bag, between 12:45 and 2 p.m. on Friday, June 5, bring your lunch and your questions for a personal discussion with some prominent media law experts that will be presenting throughout the 2015 IRE Conference. We'll provide drinks and dessert. | URL: http://ire.org/events-and-training/event/1574/2093/",Franklin 3&amp;4,False
,Broadcast: Avoiding legal trouble,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Steve Chung, Barbara Wall, Kathleen Johnston - **Moderated by Kathleen Johnston, independent journalist | URL: http://ire.org/events-and-training/event/1574/1956/",Franklin 9&amp;10,False
,Writing master class: &quot;Before the Law&quot;,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Jennifer Gonnerman, Stephen Engelberg - **Moderated by Stephen Engelberg, ProPublica | URL: http://ire.org/events-and-training/event/1574/1945/",Franklin 5&amp;6,False
,Interviewing liars,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Matt Apuzzo, Don Borelli, Barry McManus - An investigative reporter, a former CIA polygraphist, and an FBI counterterrorism agent give you the tools you need for any interview. Learn how the FBI prepares for an interview and how intelligence professionals build rapport with people who have no incentive to talk. How can you tell when you're being lied to? How should you respond when it happens? And find out how to keep people talking, even when they know they should not. | URL: http://ire.org/events-and-training/event/1574/1990/",Salon E,False
,Covering the economics of medicine (Sponsored by Bloomberg),2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Dean Baker, David Cay Johnston, Alicia Mundy - With healthcare costing 17.4 percent of the economy, knowing who gets the money, why we spend twice the average of other rich countries and how to think about cost issues can be valuable in identifying stories. Two journalists who have long reported on health care economics and an economist who has written extensively on how patent law and trade policies drive up health care costs will show you the data and suggest ways to think about the issues. | URL: http://ire.org/events-and-training/event/1574/1967/",Salon C,False
,Get the Sqoop: An easier way to search and set alerts for public records information (Sponsored by Knight Foundation),2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,Speakers: Bill Hankes | URL: http://ire.org/events-and-training/event/1574/2002/,Franklin 7,False
,Investigating the investigators: Digging into regulatory agencies,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Howard Berkes, Tom Frank, Jay LaMonica, Doug Pardue - **Moderated by Jay LaMonica, Al Jazeera America | URL: http://ire.org/events-and-training/event/1574/2101/",Franklin 3&amp;4,False
,20 tools to fortify your social media,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Doug Haddix - Whether you&rsquo;re a social media novice or sophisticate, you&rsquo;ll discover new tools and tactics with these proven apps and websites. Most are free or low cost. Tame Twitter with apps to help you find sources, uncover connections and mine posts. Discover ways to find social posts by location to target specific neighborhoods or communities for sources and information. Learn about simple tools to make compelling charts, maps, and other visuals to make your posts more shareable and engaging. Find ways to manage the social media firehose with automated curation, scheduled posts and effective monitoring. | URL: http://ire.org/events-and-training/event/1574/1932/",Franklin 1&amp;2,False
,Funding the independent investigation (Sponsored by Fund for Investigative Journalism),2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Esther Kaplan, Jane Sasseen, Ricardo Sandoval-Palos, Jon Sawyer, Laird Townsend, Brant Houston - **Moderated by Brant Houston, University of Illinois | URL: http://ire.org/events-and-training/event/1574/1978/",Salon D,False
,Getting started with R,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Ryann Grochowski Jones - Add statistical heft to your reporting by using R, a free, powerful open-source programming language. This session will tackle the basics of R: importing data, installing packages, working with variables, and sorting and organizing your data.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2016/",Room 401,False
,Broadcast deep dives 2,2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Vicky Nguyen, Liz Wagner, Jim Strickland, Tisha Thompson, Rick Yarborough - From undercover and interview techniques to research and records requests, watch some of the best investigative stories of the year and hear from the journalists behind the work. | URL: http://ire.org/events-and-training/event/1574/2007/",Franklin 8,False
,Cracking the political piggy bank: An introduction to campaign finance data (Sponsored by Rockefeller Brothers Fund),2015-06-05,2:30 p.m.,2015-06-05,3:30 p.m.,False,"Speakers: Ben Wieder - Learn how to access and analyze federal and state campaign finance data to follow the money in your community. We&rsquo;ll cover how to keep tabs on top donors to your local Congressmen and Senators, and how to track political action committees active in their races. You&rsquo;ll work with data from the Federal Election Commission and learn about other resources available for tracking influence in federal and state elections. | URL: http://ire.org/events-and-training/event/1574/2023/",Room 404,False
,A case study in virtual reality: Creating an Ebola documentary (Sponsored by Knight Foundation),2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,Speakers: Fergus Pitt | URL: http://ire.org/events-and-training/event/1574/1904/,Franklin 7,False
,"Prisons, jails and punishment: The real story (Sponsored by Criminal Justice Journalists)",2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Julie Brown, David Rudovsky, Eileen Sullivan, Ted Gest, John Wetzel - **Moderated by Ted Gest, Criminal Justice Journalists | URL: http://ire.org/events-and-training/event/1574/1980/",Salon D,False
,The anatomy of a crisis: Tracking the records trail,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Danielle Ivory, Sheila MacVicar | URL: http://ire.org/events-and-training/event/1574/2102/",Franklin 3&amp;4,False
,Stonewalled: Strategies for getting what you need out of government,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Rob Barry, Walt Bogdanich, Carol Leonnig, Charles Lewis - **Moderated by Charles Lewis, Investigative Reporting Workshop | URL: http://ire.org/events-and-training/event/1574/1992/",Salon E,False
,The art of developing sources,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Manny Garcia, James Polk, Bernice Yeung, Matt Goldberg - **Moderated by Matt Goldberg, NBC4 Los Angeles | URL: http://ire.org/events-and-training/event/1574/1934/",Franklin 1&amp;2,False
,Show &amp; Tell (Friday - #4),2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Phil Drechsler - **Moderated by Phil Drechsler, NBC4 Los Angeles | URL: http://ire.org/events-and-training/event/1574/2068/",Franklin 8,False
,Broadcast: How some of the best work gets done,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Joel Grover, Brian Ross, Phil Williams | URL: http://ire.org/events-and-training/event/1574/1958/",Franklin 9&amp;10,False
maps,Using Fusion Tables,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,Speakers: Joe Yerardi | URL: http://ire.org/events-and-training/event/1574/2024/,Room 404,False
,Covering threats against journalists overseas without leaving town,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Courtney Mabeus, Dana Priest, Kamran Shafi - This session will cover the &nbsp;methodology used to research individual journalists imprisoned overseas including the use of social media to find and interview the colleagues and families of prisoners. Both the methodology and the social media tools can be easily adapted to report on other subjects outside of the United States without leaving the country. This session, which includes the perspective of a formerly imprisoned reporter, also will address the reasons why every journalist should consider investigating issues of press freedom around the world. | URL: http://ire.org/events-and-training/event/1574/1946/",Franklin 5&amp;6,False
,More with R,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,Speakers: Coulter Jones | URL: http://ire.org/events-and-training/event/1574/2018/,Room 401,False
,Management track: Dodging the bullets - making your stories as error and libel free as possible,2015-06-05,3:40 p.m.,2015-06-05,4:40 p.m.,False,"Speakers: Fernando Diaz, Bill Marimow, Les Zaitz, Robin Fields - **Moderated by Robin Fields, ProPublica | URL: http://ire.org/events-and-training/event/1574/1969/",Salon C,False
,Show &amp; Tell (Friday - #5),2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Melissa Blasius-Nuanez - **Moderated by Melissa Blasius-Nuanez, KUSA/9News Denver | URL: http://ire.org/events-and-training/event/1574/2069/",Franklin 8,False
,Working with whistleblowers,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Scott Bronstein, Steve Riley, Dennis Wagner, Sarah Cohen - **Moderated by Sarah Cohen, The New York Times | URL: http://ire.org/events-and-training/event/1574/2105/",Franklin 5&amp;6,False
regex,Cleaning data with regular expressions and more,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,Speakers: Agustin Armendariz | URL: http://ire.org/events-and-training/event/1574/2025/,Room 404,False
,Tools for transparency from the Sunlight Foundation (Sponsored by Knight Foundation),2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Bill Allison, Jacob Fenton, Robert Lannon, Ryan Sibley - See first hand new and improved tools, and get a preview of coming attractions from the Sunlight Foundation. We'll demo tools that can help you research people, follow all the money sluicing through the electoral system -- whether its lobbyists working legislators or dark money groups taking to the airwaves, learn the latest about criminal justice data, and more.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2005/",Franklin 7,False
,Finding the story: Contracts,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,Speakers: Danielle Ivory | URL: http://ire.org/events-and-training/event/1574/2019/,Room 401,False
,Broadcast: Your presentation style,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Barry Nash - The Coaching Company Founder and Head Coach, Barry Nash, will talk about the challenge of addressing an audience you can neither see nor hear, the subtle and not-so-subtle ways it can compromise your message, and what to do about it. &nbsp;He&rsquo;ll share related research and load you up with practical tips on how to dress, move and talk so that viewers are more likely to &ldquo;get&rdquo; your stories, and your stories are more likely to get the attention they deserve. | URL: http://ire.org/events-and-training/event/1574/1960/",Franklin 9&amp;10,False
,Quantity and quality,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Aaron Diamant, John Ferrugia, David Raziq | URL: http://ire.org/events-and-training/event/1574/1970/",Salon C,False
,Digital presentation for investigations,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Paul Cheung, Benjamin Herold, Giannina Segnini, Erika Owens - **Moderated by Erika Owens,&nbsp;Knight-Mozilla OpenNews | URL: http://ire.org/events-and-training/event/1574/1982/",Salon D,False
,SHOWCASE PANEL: The New Muckrakers - The expanding world of investigative journalism,2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Shani Hilton, Bill Keller, Jason Mojica, Betsy Reed, Andy Donohue - **Moderated by Andy Donohue, Reveal/CIR | URL: http://ire.org/events-and-training/event/1574/1994/",Salon E,False
spreadsheets,Examining voter access issues (Sponsored by Rockefeller Brothers Fund),2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Ari Berman, Paul Overberg, Myrna Perez | URL: http://ire.org/events-and-training/event/1574/2103/",Franklin 1&amp;2,False
,Oil on the tracks: Covering the explosive story of crude trains (Sponsored by Society of Environmental Journalists),2015-06-05,4:45 p.m.,2015-06-05,6:00:00 p.m.,False,"Speakers: Russell Gold, Grant Robertson, Sarah Feinberg - **Moderated by Russell Gold, The Wall Street Journal | URL: http://ire.org/events-and-training/event/1574/2104/",Franklin 3&amp;4,False
,IRE Conference Registration (Saturday),2015-06-06,8:00:00 a.m.,2015-06-06,5:00:00 p.m.,False,Registration will be located on the 4th floor of the Philadelphia Marriott Downtown.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2088/,Franklin Hall Foyer,False
,IRE Sales Table (Saturday),2015-06-06,8:00:00 a.m.,2015-06-06,5:00:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission. &nbsp;Sales will be located on the 4th floor of the Philadelphia Marriott Downtown. | URL: http://ire.org/events-and-training/event/1574/2091/",Franklin Hall Foyer,False
,Social media innovations: Investigative reporting and social documentary photography,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: Nina Berman, Jeff Kelly Lowenstein - Documentary photographers and investigative journalists often come together at the end of a long-term project, but this session will explore what happens when photographers and investigative reporters are in active and ongoing collaboration, particularly in the social media arena. The panel will show multiple examples of how photographers and investigative journalists can use the Instagram platform, and others, to build deeper and wider engagement, reach a national and international audiences and build new sources and story ledes. It is open to all people interested in investigative journalism, photography and your work having the widest possible audience and impact.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1895/",Franklin 1&amp;2,False
,On the beat: Healthcare,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: JoNel Aleccia, Joanne Faryon, Christopher Weaver, Alison Young - **Moderated by Alison Young, USA TODAY | URL: http://ire.org/events-and-training/event/1574/2115/",Salon G,False
maps,Intro to mapping with QGIS: Importing and displaying data,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,Speakers: Alexandra Kanik | URL: http://ire.org/events-and-training/event/1574/2044/,Room 402,False
,Beacon (Sponsored by Knight Foundation),2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,Speakers: Adrian Sanders | URL: http://ire.org/events-and-training/event/1574/1942/,Franklin 7,False
,Broadcast: Breaking news investigations,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: Megan Chuchmach, Jodie Fleischer, Scott MacFarlane | URL: http://ire.org/events-and-training/event/1574/1935/",Franklin 9&amp;10,False
,Show &amp; Tell (Saturday - #1),2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: Greg Amante - **Moderated by Greg Amante, ESPN's Outside the Lines | URL: http://ire.org/events-and-training/event/1574/2070/",Franklin 8,False
,From the newsroom to the classroom,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: Rosemary Armao, Cheryl Phillips, James F McGinnis, Dawn Fallik - **Moderated by Dawn Fallik, University of Delaware | URL: http://ire.org/events-and-training/event/1574/1933/",Franklin 5&amp;6,False
databases,Using SQL to interrogate data (part 1),2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,Speakers: Malik Singleton | URL: http://ire.org/events-and-training/event/1574/2050/,Room 404,False
,Investigating what we eat,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,"Speakers: Mike McGraw, Duff Wilson, Bernice Yeung, Rose Ciotta - Pesticides, hormones, antibiotics, bacteria and inadequate inspections have turned food into a hot subject for investigation. This panel will cover how to get behind hype and government stonewalling to report on food safety &nbsp;in an era of global trade. Topics include labeling and what consumers need to know. | URL: http://ire.org/events-and-training/event/1574/1912/",Franklin 3&amp;4,False
,Web scraping for anyone,2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,Speakers: Samantha Sunne | URL: http://ire.org/events-and-training/event/1574/2035/,Room 401,False
,Audio class with Reveal 1 (pre-registered attendees only),2015-06-06,8:30 a.m.,2015-06-06,9:30 a.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2080/,Room 414/415,False
,How to become an instant expert on a topic through Google,2015-06-06,9:40 a.m.,2015-06-06,10:40 a.m.,False,"Speakers: Daniel Russell - It's happened to you--you need to do a story on a topic that's completely outside of your experience. Surely there's someone more qualified? The answer is usually NO. Now what? Now you have to come up to speed on that topic ASAP. In this mini-course, you&rsquo;ll learn strategies and tactics to use to learn a domain as rapidly as possible. You won't be an expert, but you'll have a bunch of tips and methods to get to competence quickly. You won&rsquo;t learn to pass the PhD exam in quantum physics, but a little knowledge about learning and Google search strategies can get you through that story. | URL: http://ire.org/events-and-training/event/1574/1952/",Salon K/L,False
,Show &amp; Tell (Saturday - #2),2015-06-06,9:40 a.m.,2015-06-06,10:40 a.m.,False,"Speakers: Dan Krauth - **Moderated by Dan Krauth, NBC6 Miami | URL: http://ire.org/events-and-training/event/1574/2071/",Franklin 8,False
,Getting great stories from hidden data sets,2015-06-06,9:40 a.m.,2015-06-06,10:40 a.m.,False,"Speakers: Sarah Cohen, Brad Heath, Janet Roberts, John Hillkirk - **Moderated by John Hillkirk, USA TODAY | URL: http://ire.org/events-and-training/event/1574/1974/",Franklin 1&amp;2,False
