Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Welcome first-timers: Get a button and conference tips,2018-06-14,8:30 a.m.,2018-06-14,8:50 a.m.,TBA,"Welcome to the conference! Get a special button for first-time attendees and hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.
",See printed schedule for room information,http://ire.org/events-and-training/event/3190/4005/
,Freelance investigations,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,TBA,,Crystal E,http://ire.org/events-and-training/event/3190/3803/
,Legal workshop: Understanding libel and copyright,2018-06-14,9:00 a.m.,2018-06-14,12:30 p.m.,"George Freeman, Jeff Hermes, Carol LoCicero, Rachel Fugate","""This three-hour workshop hosted by the Media Law Resource Center will go in-depth on two major areas of media law. Attendees are encouraged to participate in both sessions. Pre-registration is not required, but seats are limited in this workshop.
Libel and invasion of privacy (9 - 10:30 a.m.)
This workshop will focus on the legal problems which can arise from your content: How can you avoid getting sued for defamation and invasion of privacy? We'll discuss what the plaintiff has to prove to make out a libel case, your common law and constitutional defenses, the differences in defending cases brought by public and private figures, privileges for opinion and using public records, and the effect of corrections, denials, libelous implications and using anonymous sources. Lawsuits for publishing truthful but embarrassing private facts will also be considered. Discussion leaders: George Freeman, Media Law Resource Center; and Carol LoCicero, Thomas & LoCicero
Copyright and digital media (11 a.m. - 12:30 p.m.)
This workshop will cover hot issues in copyright and the law of digital media. We will start with a consideration of copyright law; just because something is on the internet does not mean it's free for the taking. What is copyrightable, the fair use of newsworthy information and embedding and aggregation of content will all be discussed. We will also talk about ways in which the law treats online speech differently from traditional media, including the ramifications of Section 230 of the Communications Decency Act and the role of social media platforms. Discussion leader: Jeff Hermes, Media Law Resource Center; and Rachel Fugate, Shullman Fugate""
",Mako,http://ire.org/events-and-training/event/3190/3966/
,Investigating wildlife issues,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,TBA,,Oceans 3,http://ire.org/events-and-training/event/3190/3885/
,Broadcast Show & Tell - Thursday #1 (Sponsored by Napoli Management Group),2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,TBA,"**Moderated by Patti Dennis, TEGNA Inc.
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes.
Sign-ups open June 4, and additional slots will become available the afternoon of June 13. 
",Crystal D,http://ire.org/events-and-training/event/3190/3991/
,Better journalism through memory: The Wayback Machine and the history of the Web (Sponsored by Knight Foundation),2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,Mark Graham,"As numerous events over the past year have demonstrated the usefulness and importance of the web and other digital media archives, and the Wayback Machine, in particular, is growing.
Mark Graham will explain these topics and provide real-world examples of various ways journalists and investigators can use the Wayback Machine to help answer questions and gather evidence to back-up claims. Participants will gain actionable experience they can immediately apply to their jobs. At the same time, we will collectively explore new services the Internet Archive might explore and develop, to advance our mission of helping to make the Web more useful and reliable. In addition, we will explore how the Internet Archive's TV News archive can help journalists by giving them the ability to interface with video as data, and conduct research and analysis that was so difficult it was nearly impossible just two years ago. 
",Oceans 9-10,http://ire.org/events-and-training/event/3190/3816/
,Work Better Track: Learn from my fail,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,TBA,,Oceans 5-6,http://ire.org/events-and-training/event/3190/3813/
,How to Report for America,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,"Molly Born, Charles Sennott, Maggie Messitt, Harvey Parson","A new national service model for journalism is helping news organizations cover underserved communities by sharing the cost of hiring new reporters. This session will feature a conversation with Report for America corps members, editors and staff about how the program works, the impact it's making already and how journalists can get involved. Attendees will hear stories from the field in Appalachia, our first region, and be invited to participate in a discussion about how local journalism builds relationships between journalists and their communities, improving the lives of residents and increasing trust in the press. The initiative is supported by Google News Lab, Knight Foundation and The Lenfest Institute for Journalism in partnership with The Emma Bowen Foundation, Maynard Institute and Solutions Journalism Network.
",See printed schedule for room information,http://ire.org/events-and-training/event/3190/3963/
,Year in investigations,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,"Sarah Hutchins, Mark Walker","Pick up some story ideas and get inspired by some of the year's best investigations.
",Oceans 4,http://ire.org/events-and-training/event/3190/3805/
,On the beat: Investigating healthcare in your town and across the country,2018-06-14,9:00 a.m.,2018-06-14,10:00 a.m.,"Rebekah Allen, Ellen Gabler, Christina Jewett, Mike Baker","Healthcare is ripe with stories but also ripe with reporting roadblocks. We will talk about how to get the story even if everyone is citing HIPAA. Learn about where to turn for documents and data, how find people who have been harmed and spotting when political influence is affecting health policy.
",Oceans 7-8,http://ire.org/events-and-training/event/3190/3814/
