Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
spreadsheets,Excel for business & economics,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,TBA,,City Terrace 8,http://ire.org/events-and-training/event/2702/2931/
,Good things come to those who weight: Conduct more reliable surveys using Veracio,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,"Heather Krause, Neal Rothleder",,River Terrace 2,http://ire.org/events-and-training/event/2702/2901/
spreadsheets,Useful Excel functions for journalists,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,TBA,,City Terrace 11,http://ire.org/events-and-training/event/2702/2933/
statistics,Basic stats in R (advanced),2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2932/
,Big data in small organizations: How we created data-driven projects and stories at a startup,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,TBA,,River Terrace 1,http://ire.org/events-and-training/event/2702/2900/
,Sports data: How to play money ball,2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,TBA,,River Terrace 3,http://ire.org/events-and-training/event/2702/3019/
,Conversations 2 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-02,10:15 a.m.,2017-03-02,11:15 a.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2975/
tableau,Show where the story is happening with maps in Tableau Public (Hosted by Tableau),2017-03-02,11:00 a.m.,2017-03-02,12:30 p.m.,Jenny Richards,"Maps are where it's at, and with the addition of spatial file support you can viz outside the box too. In this session you will learn different methods for building maps in Tableau Public. We will teach you how to:
*determine what kind of mapping data you're looking at
*take advantage of spatial file support in Tableau Public
*beautify maps with built-in and Mapbox-supported backgrounds
*integrate maps into your dashboards
*utilize design and layout best practices to make sure that your visualization looks polished and professional
Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available. There may be a few seats available on-site.
Register for this class.
",City Terrace 6,http://ire.org/events-and-training/event/2702/3016/
,Structuring your data the right way the first time,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/2904/
statistics,Advanced stats in R: Linear and logistic regression (advanced),2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2934/
