Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Hacking your first NICAR,2018-03-08,8:30 a.m.,2018-03-08,8:50 a.m.,"Denise Malan, Doug Haddix","Welcome to the CAR Conference! This short introductory session is designed for anyone new to NICAR, or anyone wanting to learn a few tricks about making the most of these four days -- without getting overwhelmed. IRE's executive director and senior training director will give their tips about how to keep up with the latest conference news, find time to network with fellow journalists and collect resources that you'll use long after the conference ends.
",Grand Ballroom II,http://ire.org/events-and-training/event/3189/3523/
,How and why to make your data analysis reproducible,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Ryann Grochowski Jones, Hannah Recht, Jeremy Singer-Vine, Hannah Cushman","You understand how you processed your data. Does your editor? Your reader? You, in six months? Without a replicable approach to extracting, transforming and loading data, we are often frustrated in our efforts to share or update our work. Join us for a panel discussion of reproducible data workflows. We'll talk about why we use standardized processes for collecting, cleaning and analyzing data, and share practices that work for us. We'll also discuss strategies for smart human intervention (i.e. reporting, logging and documentation) in automated workflows.
",Addison,http://ire.org/events-and-training/event/3189/3532/
<<<<<<< HEAD
,Using OpenCorporates to investigate companies,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Mollie Hanley,"OpenCorporates is the largest open database of companies in the world, enabling simple, powerful searching of over 137 million companies (and counting). Their data is core infrastructure for journalists, alongside NGOs, governments and businesses working to uncover company information. In this session, they'll be opening up their knowledge and presenting tips and tricks to allow you to make the most of your investigations.
",Clark,http://ire.org/events-and-training/event/3189/3697/
,Google Sheets: Using advanced functions,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Olga Pierce,"Google Sheets has finally matured as a useful tool for advanced journalism tasks. Learn advanced uses like joining tables, conducting statistical tests, making simple linear regressions and using Sheets as a backbone for web applications.
This session is good for: People who are familiar with advanced data journalism techniques but need a portable and collaborative solution.
",Indiana/Iowa,http://ire.org/events-and-training/event/3189/3639/
=======
databases,PostgreSQL,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Anthony DeBarros,"In this session, we'll cover some lesser-known but incredibly useful features of PostgreSQL, a free, open-source relational database system named 2017 DBMS of the Year by DB-Engines. You'll learn how to analyze spatial data with PostGIS, automate tasks with triggers, use Python and R in SQL functions, and discover PostgreSQL's powerful full-text search engine. 
This session is good for: People who have familiarity with SQL, but beginners are welcome.
",Sheffield,http://ire.org/events-and-training/event/3189/3660/
,Google Sheets: Using advanced functions,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Olga Pierce,"Google Sheets has finally matured as a useful tool for advanced journalism tasks. Learn advanced uses like joining tables, conducting statistical tests, making simple linear regressions and using Sheets as a backbone for web applications.
This session is good for: People who are familiar with advanced data journalism techniques but need a portable and collaborative solution.
",Indiana/Iowa,http://ire.org/events-and-training/event/3189/3639/
spreadsheets,Excel 1: Getting started with spreadsheets,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Emily Hopkins,,Michigan/Michigan St,http://ire.org/events-and-training/event/3189/3609/
,Maps made easy,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Regina Compton, Derek Eder","At DataMade, a civic technology company in Chicago, we love building, thinking about and learning from digital maps. In this session, we'll share some of our favorite tools for mapping data, giving emphasis to Derek Eder's Fusion Tables Searchable Map Template. Open source and easy-to-use, the Fusion Tables Template facilitates the creation of a searchable, filterable map from any spreadsheet or shapefile. We will give a step-by-step overview of the template and demonstrate some of its key features: address search, geolocation, the ability to easily add additional search filters, and hover and popover interactivity for point details. Time permitting, we will also introduce Carto and the CartoTemplate, a streamlined, customizable code source — and a close sibling to Fusion Tables. Participants can come prepared with their own mappable data, or they can use data provided by DataMade.
*Please note: You must bring your own laptop to participate in this class.
This session is good for: Anyone with beginning JavaScript and HTML knowledge and an interest in digital maps.
",Grace,http://ire.org/events-and-training/event/3189/3670/
python,PyCAR (intermediate) *pre-registered attendees only,2018-03-08,9:00 a.m.,2018-03-08,12:30 p.m.,"Tom Meagher, Jacob Quinn Sanders, Eric Sagara, Sara Simon, Anna Flagg, Moiz Syed, Elaine Wong, Aaron Williams","This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the web, inserting it in a database and analyzing the results.
Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. 
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: Attendees should have familiarity with the command line and be comfortable with databases and SQL.
This class takes place on Thursday, March 8 from 9 am - 12:30 pm and continues Friday, March 9, 9 a.m. - 12:30 p.m. (Registration for this session reserves your seat for both days of this workshop and attendees are expected to attend both sessions to complete the workshop.)
NOTE: Registration is required for this session. Click here to sign up.
",Lincolnshire,http://ire.org/events-and-training/event/3189/3496/
,"Time, location and context: Analyzing and presenting location-based/geographic data",2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Stephen Jefferson, Amy Schmitz Weiss, Joe Yerardi, Victor Hernandez","This diverse panel of experts will explore how the realm of big data, particularly geographic data, poses opportunities and challenges for today's newsrooms. Are newsrooms and journalists ready for the growth of geographic and location-based data that will impact how news can be told and received? This panel will answer this question by addressing the nuances of coding geographic and location-based data for a variety of contexts from app and CMS development to story presentation; the challenges in analyzing big datasets that are geographic or location-based in nature; and the overall geodata mindset needed in journalism today. Attendees will also come away with a handout of tips and techniques related to working in this geo-context.
",Grand Ballroom III,http://ire.org/events-and-training/event/3189/3547/
javascript,What the hell is D3? And other questions you're afraid to ask,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Elizabeth Lucas, Jill Riepenhoff","Ever wondered what people are talking about at this conference? What exactly is D3 and why  would you want to use it? What is the difference between Ruby, Python and Javascript? And why is there a J in front of Query? Welcome to our no-judgment, starting-at-step-zero session even NICAR veterans can use. We'll review tech concepts and jargon you'll likely hear at NICAR this year and explain what they mean, why they're useful and point you to the sessions that can teach you the terms you now understand.
",Grand Ballroom II,http://ire.org/events-and-training/event/3189/3522/
,Exploring the tidyverse in R (intermediate) *pre-registered attendees only,2018-03-08,9:00 a.m.,2018-03-08,5:45 p.m.,Hadley Wickham,"Spend a day with RStudio's Hadley Wickham as you learn how to use tidyverse. This collection of R packages will help you make your data journalism more efficient, stronger and fun. Learn how to import, clean, analyze and plot data for your stories. If you've used packages like dplyr, tidyr, readr, ggplot2, tibble and purr, or would like to learn more about how these work together, this class is for you.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: You should be comfortable working with R and RStudio. You should also be familiar with basic data analysis. 
NOTE: Registration is required for this session. Click here to sign up.
",Purdue/Wisconsin,http://ire.org/events-and-training/event/3189/3498/
,Conversation: Intro to BayesDB: Open-source AI that helps journalists search messy multivariate data,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Sara Rendtorff-Smith,,Halsted,http://ire.org/events-and-training/event/3189/3740/
,Using OpenCorporates to investigate companies,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Mollie Hanley,"OpenCorporates is the largest open database of companies in the world, enabling simple, powerful searching of over 137 million companies (and counting). Their data is core infrastructure for journalists, alongside NGOs, governments and businesses working to uncover company information. In this session, they'll be opening up their knowledge and presenting tips and tricks to allow you to make the most of your investigations.
",Clark,http://ire.org/events-and-training/event/3189/3697/
>>>>>>> origin
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2018-03-08,9:00 a.m.,2018-03-08,10:30 a.m.,Scott Teal,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
•Connect to Excel files and other data
•Create maps and charts
•Make them interactive
•Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.  There may be a few seats available on-site.
",Great America,http://ire.org/events-and-training/event/3189/3492/
,Getting started: Introduction to CAR and the conference,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Kimbriell Kelly, Charles Minshew","Are you new to data journalism or does this happen to be your first time at a CAR conference? Is it time to up your game but you're not sure how to take the next step? If so, this session will help you get on track to make sure that you get the best experience possible from the 2018 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference. 
",Grand Ballroom I,http://ire.org/events-and-training/event/3189/3521/
<<<<<<< HEAD
spreadsheets,Excel 1: Getting started with spreadsheets,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Emily Hopkins,,Michigan/Michigan St,http://ire.org/events-and-training/event/3189/3609/
python,PyCAR (intermediate) *pre-registered attendees only,2018-03-08,9:00 a.m.,2018-03-08,12:30 p.m.,"Tom Meagher, Jacob Quinn Sanders, Eric Sagara, Sara Simon, Anna Flagg, Moiz Syed, Elaine Wong, Aaron Williams","This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the web, inserting it in a database and analyzing the results.
Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. 
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: Attendees should have familiarity with the command line and be comfortable with databases and SQL.
This class takes place on Thursday, March 8 from 9 am - 12:30 pm and continues Friday, March 9, 9 a.m. - 12:30 p.m. (Registration for this session reserves your seat for both days of this workshop and attendees are expected to attend both sessions to complete the workshop.)
NOTE: Registration is required for this session. Click here to sign up.
",Lincolnshire,http://ire.org/events-and-training/event/3189/3496/
,Maps made easy,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Regina Compton, Derek Eder","At DataMade, a civic technology company in Chicago, we love building, thinking about and learning from digital maps. In this session, we'll share some of our favorite tools for mapping data, giving emphasis to Derek Eder's Fusion Tables Searchable Map Template. Open source and easy-to-use, the Fusion Tables Template facilitates the creation of a searchable, filterable map from any spreadsheet or shapefile. We will give a step-by-step overview of the template and demonstrate some of its key features: address search, geolocation, the ability to easily add additional search filters, and hover and popover interactivity for point details. Time permitting, we will also introduce Carto and the CartoTemplate, a streamlined, customizable code source — and a close sibling to Fusion Tables. Participants can come prepared with their own mappable data, or they can use data provided by DataMade.
*Please note: You must bring your own laptop to participate in this class.
This session is good for: Anyone with beginning JavaScript and HTML knowledge and an interest in digital maps.
",Grace,http://ire.org/events-and-training/event/3189/3670/
,Exhibitors & Recruiters Hours (Thursday),2018-03-08,9:00 a.m.,2018-03-08,5:00 p.m.,TBA,"Be sure to stop by the 7th floor and visit with the exhibitors at this year's CAR conference. Details on specific exhibitors can be found by clicking on the exhibitors icon. 
",7th Floor Foyer,http://ire.org/events-and-training/event/3189/3766/
,"Time, location and context: Analyzing and presenting location-based/geographic data",2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Stephen Jefferson, Joe Yerardi, Victor Hernandez,","This diverse panel of experts will explore how the realm of big data, particularly geographic data, poses opportunities and challenges for today's newsrooms. Are newsrooms and journalists ready for the growth of geographic and location-based data that will impact how news can be told and received? This panel will answer this question by addressing the nuances of coding geographic and location-based data for a variety of contexts from app and CMS development to story presentation; the challenges in analyzing big datasets that are geographic or location-based in nature; and the overall geodata mindset needed in journalism today. Attendees will also come away with a handout of tips and techniques related to working in this geo-context.
",Grand Ballroom III,http://ire.org/events-and-training/event/3189/3547/
,"Searchable, interactive data tables in an hour or less",2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Saurabh Datar,"In one hour, learn how to go from a simple Excel/Google spreadsheet to a searchable, interactive data table using the popular jQuery library datatables. 
This session is good for: Anyone who has been frustrated with trying to put their data online in a usable format.Some basic HTML experience is helpful but not required.
",Northwestern/Ohio St,http://ire.org/events-and-training/event/3189/3658/
databases,PostgreSQL,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Anthony DeBarros,"In this session, we'll cover some lesser-known but incredibly useful features of PostgreSQL, a free, open-source relational database system named 2017 DBMS of the Year by DB-Engines. You'll learn how to analyze spatial data with PostGIS, automate tasks with triggers, use Python and R in SQL functions, and discover PostgreSQL's powerful full-text search engine. 
This session is good for: People who have familiarity with SQL, but beginners are welcome.
",Sheffield,http://ire.org/events-and-training/event/3189/3660/
,Conversation: Intro to BayesDB: Open-source AI that can help journalists search messy multivariate data,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,Sara Rendtorff-Smith,"Over the past ten years, researchers at MIT have been developing an open-source probabilistic AI software called BayesDB. BayesDB has the potential to allow users to answer a broad class of data science questions interactively, in seconds or minutes, without requiring statistical programming. Our team is currently working to understand how BayesDB can help journalists, with or without programming skills, identify and build their story. Specifically, we are in the process of developing tools for spreadsheet search, predictive modeling and time series forecasting.
Come and learn more about our open-source probabilistic AI software and help provide feedback on how we can adapt BayesDB tools to better suit the needs and workflow of investigative journalists.
",Halsted,http://ire.org/events-and-training/event/3189/3740/
javascript,What the hell is D3? And other questions you're afraid to ask,2018-03-08,9:00 a.m.,2018-03-08,10:00 a.m.,"Elizabeth Lucas, Jill Riepenhoff","Ever wondered what people are talking about at this conference? What exactly is D3 and why  would you want to use it? What is the difference between Ruby, Python and Javascript? And why is there a J in front of Query? Welcome to our no-judgment, starting-at-step-zero session even NICAR veterans can use. We'll review tech concepts and jargon you'll likely hear at NICAR this year and explain what they mean, why they're useful and point you to the sessions that can teach you the terms you now understand.
",Grand Ballroom II,http://ire.org/events-and-training/event/3189/3522/
,Exploring the tidyverse in R (intermediate) *pre-registered attendees only,2018-03-08,9:00 a.m.,2018-03-08,5:45 p.m.,Hadley Wickham,"Spend a day with RStudio's Hadley Wickham as you learn how to use tidyverse. This collection of R packages will help you make your data journalism more efficient, stronger and fun. Learn how to import, clean, analyze and plot data for your stories. If you've used packages like dplyr, tidyr, readr, ggplot2, tibble and purr, or would like to learn more about how these work together, this class is for you.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: You should be comfortable working with R and RStudio. You should also be familiar with basic data analysis. 
NOTE: Registration is required for this session. Click here to sign up.
",Purdue/Wisconsin,http://ire.org/events-and-training/event/3189/3498/
,Finding the story: Opioid data,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Ryann Grochowski Jones, Charles Ornstein","As the opioid abuse crisis has taken hold across the U.S., stories about addiction, overdoses and deaths have become relevant in almost any community. This session will lead you through data that can help you quantify the seriousness of the issue in your community and find individual stories that can help you put a face on the crisis.
This class is good for: People comfortable working in Excel.
",Northwestern/Ohio St,http://ire.org/events-and-training/event/3189/3721/
,Uncovering inequity in property taxes,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Matt Clark, Jason Grotto, Cheryl W. Thompson, Christopher Berry","Are tax bills in your area based on accurate and fair assessments? Are lower-income homeowners or those from mostly minority communities being overtaxed? Inequity in property taxation is a huge problem that traditionally has gotten little attention. Learn how to use data to tackle this vital issue and turn the numbers into compelling stories.
",Grand Ballroom III,http://ire.org/events-and-training/event/3189/3608/
,Google Sheets: Scraping without coding,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Samantha Sunne,"Yes, you can scrape data without using code -- in fact, all you need is Google Sheets! We'll be using Excel-type formulas (don't worry if you don't know what those are, either) to make simple scrapers that automatically pull data into Google Sheets. It's the best way to get around clunky websites and unhelpful PIOs!
This session is good for: Beginners who want to start using data for their stories.
",Indiana/Iowa,http://ire.org/events-and-training/event/3189/3626/
,Unleash the data: Tools and tricks for taming PDFs,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Chad Day,"This class will cover basic approaches for getting text out of PDF documents using powerful and freely available tools. Participants will be introduced to basic concepts and walked through tackling common challenges encountered with tricky PDF documents.
This session is good for: People who are unfamiliar with PDF-to-text tools or would like to learn how these tools can be used for extracting difficult text from images embedded in a PDF document.
",Sheffield,http://ire.org/events-and-training/event/3189/3646/
web development,Github for journalists,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Max Harlow,"We'll cover Github's basics features  — repositories, commits, branches, pull requests and issues — using a recent data-driven story as a case study. The goal is for you to leave the class and be able to use GitHub on your own for your next story.
Please note: You will need to bring your own laptop to participate in this class. You will also need to have created an account at GitHub.com and install GitHub Desktop prior to the class. 
This session is good for: Journalists who want to collaborate on data analyses, back up their work and share their methodology with (nerdy) readers.
",Grace,http://ire.org/events-and-training/event/3189/3699/
,Year in CAR,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Brett Murphy, Sarah Hutchins, Marianne Bouchart","What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time. 
",Grand Ballroom I,http://ire.org/events-and-training/event/3189/3525/
,Conversation: Data blitz,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Jeremy Singer-Vine,"Like lightning talks, but for data. Five presenters will guide you through their favorite underappreciated datasets.
",Halsted,http://ire.org/events-and-training/event/3189/3685/
,Beyond Signal: The latest secure messaging apps (Security Track),2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Martin Shelton,"To help ensure the safety of your sources and to empower you to get strong tips, in this session we examine a variety of secure channels that news organizations can offer on confidential tip pages, as well as the relative tradeoffs of these tools.
This session was planned in collaboration with the Freedom of the Press Foundation.
",Clark,http://ire.org/events-and-training/event/3189/3530/
,"Education civil rights data: The good, the bad, the dirty (Diversity Track)",2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Jennifer LaFleur, Alex Harwin, Kameel Stanley","Panelists with a range of expertise will discuss the federal civil rights dataset, how to make the most of it and avoid the pitfalls. We also will talk about how to use state data to tell stories about disparities in schools. This session will provide lots of story ideas, so come with questions!
",Addison,http://ire.org/events-and-training/event/3189/3585/
,Deep dives for radio and podcasts,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Odette Yousef, Jon Collins, Aaron Mendelson","You've filed the FOIA. You've talked to sources and gathered the documents. You've collected the numbers and done the analysis. Now – how to bring it all together into masterful audio stories that won't make your audience's eyes glaze over? In this session we are going to discuss the strategies we've used when going deep on tough stories to create compelling stories for podcasts and radio.
",Grand Ballroom II,http://ire.org/events-and-training/event/3189/3591/
spreadsheets,Excel 2: Using formulas for stories,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Jennifer Smith Richards,"Much of Excel's power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.
This session is good for: Anyone who is comfortable navigating Excel.
",Michigan/Michigan St,http://ire.org/events-and-training/event/3189/3610/
=======
,Unleash the data: Tools and tricks for taming PDFs,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Chad Day,"This class will cover basic approaches for getting text out of PDF documents using powerful and freely available tools. Participants will be introduced to basic concepts and walked through tackling common challenges encountered with tricky PDF documents.
This session is good for: People who are unfamiliar with PDF-to-text tools or would like to learn how these tools can be used for extracting difficult text from images embedded in a PDF document.
",Sheffield,http://ire.org/events-and-training/event/3189/3646/
,Conversation: Data blitz,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Jeremy Singer-Vine,"Like lightning talks, but for data. Five presenters will guide you through their favorite underappreciated datasets.
",Halsted,http://ire.org/events-and-training/event/3189/3685/
spreadsheets,Excel 2: Using formulas for stories,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Jennifer Smith Richards,"Much of Excel's power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.
This session is good for: Anyone who is comfortable navigating Excel.
",Michigan/Michigan St,http://ire.org/events-and-training/event/3189/3610/
,Finding the story: Opioid data,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Ryann Grochowski Jones, Charles Ornstein","As the opioid abuse crisis has taken hold across the U.S., stories about addiction, overdoses and deaths have become relevant in almost any community. This session will lead you through data that can help you quantify the seriousness of the issue in your community and find individual stories that can help you put a face on the crisis.
This class is good for: People comfortable working in Excel.
",Northwestern/Ohio St,http://ire.org/events-and-training/event/3189/3721/
,Uncovering inequity in property taxes,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Matt Clark, Jason Grotto, Cheryl W. Thompson, Christopher Berry","Are tax bills in your area based on accurate and fair assessments? Are lower-income homeowners or those from mostly minority communities being overtaxed? Inequity in property taxation is a huge problem that traditionally has gotten little attention. Learn how to use data to tackle this vital issue and turn the numbers into compelling stories.
",Grand Ballroom III,http://ire.org/events-and-training/event/3189/3608/
,Google Sheets: Scraping without coding,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Samantha Sunne,"Yes, you can scrape data without using code -- in fact, all you need is Google Sheets! We'll be using Excel-type formulas (don't worry if you don't know what those are, either) to make simple scrapers that automatically pull data into Google Sheets. It's the best way to get around clunky websites and unhelpful PIOs!
This session is good for: Beginners who want to start using data for their stories.
",Indiana/Iowa,http://ire.org/events-and-training/event/3189/3626/
web development,Github for journalists,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Max Harlow,"We'll cover Github's basics features  — repositories, commits, branches, pull requests and issues — using a recent data-driven story as a case study. The goal is for you to leave the class and be able to use GitHub on your own for your next story.
Please note: You will need to bring your own laptop to participate in this class. You will also need to have created an account at GitHub.com and install GitHub Desktop prior to the class. 
This session is good for: Journalists who want to collaborate on data analyses, back up their work and share their methodology with (nerdy) readers.
",Grace,http://ire.org/events-and-training/event/3189/3699/
,Deep dives for radio and podcasts,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Will Craft, Odette Yousef, Jon Collins","You've filed the FOIA. You've talked to sources and gathered the documents. You've collected the numbers and done the analysis. Now – how to bring it all together into masterful audio stories that won't make your audience's eyes glaze over? In this session we are going to discuss the strategies we've used when going deep on tough stories to create compelling stories for podcasts and radio.
",Grand Ballroom II,http://ire.org/events-and-training/event/3189/3591/
,Beyond Signal: The latest secure messaging apps (Security Track),2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,Martin Shelton,"To help ensure the safety of your sources and to empower you to get strong tips, in this session we examine a variety of secure channels that news organizations can offer on confidential tip pages, as well as the relative tradeoffs of these tools.
This session was planned in collaboration with the Freedom of the Press Foundation.
",Clark,http://ire.org/events-and-training/event/3189/3530/
,"Education civil rights data: The good, the bad, the dirty (Diversity Track)",2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Jennifer LaFleur, Alex Harwin, Kameel Stanley","Panelists with a range of expertise will discuss the federal civil rights dataset, how to make the most of it and avoid the pitfalls. We also will talk about how to use state data to tell stories about disparities in schools. This session will provide lots of story ideas, so come with questions!
",Addison,http://ire.org/events-and-training/event/3189/3585/
,Year in CAR,2018-03-08,10:15 a.m.,2018-03-08,11:15 a.m.,"Brett Murphy, Sarah Hutchins, Marianne Bouchart","What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time. 
",Grand Ballroom I,http://ire.org/events-and-training/event/3189/3525/
>>>>>>> origin
tableau,Show where the story is happening with maps in Tableau Public (Hosted by Tableau),2018-03-08,11:00 a.m.,2018-03-08,12:30 p.m.,Ben Jones,"Maps are where it's at, and with the addition of spatial file support you can viz outside the box too. In this session you will learn different methods for building maps in Tableau Public. We will teach you how to:
•determine what kind of mapping data you're looking at
•take advantage of spatial file support in Tableau Public
•beautify maps with built-in and Mapbox-supported backgrounds
•integrate maps into your dashboards
•utilize design and layout best practices to make sure that your visualization looks polished and professional
Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available.  There may be a few seats available on-site.
",Great America,http://ire.org/events-and-training/event/3189/3493/
<<<<<<< HEAD
,Finding the story: Open policing data,2018-03-08,11:30 a.m.,2018-03-08,12:30 p.m.,Cheryl Phillips,"Researchers at Stanford University examined the records from more than 60 million state patrol stops in 20 states between 2011 and 2015. The study found that police stopped black drivers more often than white drivers relative to their share of the driving-age population, but that Hispanic drivers are stopped less often than whites.
This workshop will help journalists adapt the data and produce stories from it. While the data analysis by Stanford covers 20 states, researchers say they have found consistent trends that speak to national issues and have released data for 30 states. The project is currently collecting data from county and city jurisdictions and expects to process, normalize and release that data as well.
",Northwestern/Ohio St,http://ire.org/events-and-training/event/3189/3669/
