Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Techraking 21: Bootstrapping the news (Sponsored by Reveal from The Center for Investigative Reporting),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,"Michael Corey, Eric Sagara, Emmanuel Martinez","Register for this event here.
Give us four hours and your laptop, and we'll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.
One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran programmers and data crunchers from Reveal from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we'll introduce crucial programming concepts and tools and -- most importantly -- why we use them.
You'll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.
",Denver/Houston/Kansas City,http://ire.org/events-and-training/event/3189/3509/
<<<<<<< HEAD
,CAR Conference Registration (Wednesday),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,TBA,"CAR Conference registration will be located on the 7th Floor of the Chicago Marriott Downtown Mag Mile. 
",7th Floor Registration,http://ire.org/events-and-training/event/3189/3757/
,CAR Conference Sales (Wednesday),2018-03-07,1:00 p.m.,2018-03-07,5:00 p.m.,TBA,"Stop by the CAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the T-shirt contest.
",7th Floor Foyer,http://ire.org/events-and-training/event/3189/3761/
=======
>>>>>>> origin
,Reporting with data for business and economics (Hosted by Donald W. Reynolds National Center for Business Journalism),2018-03-07,2:00 p.m.,2018-03-07,4:00 p.m.,"Sarah Cohen, Robert Gebeloff","Reporter Sarah Cohen, the Knight Chair in Data Journalism at Arizona State University's Walter Cronkite School of Journalism and Mass Communication & Robert Gebeloff, The New York Times, will present data sources you can use to bolster your business and economic stories in this pre-conference workshop, sponsored by the Donald W. Reynolds National Center for Business Journalism.
Business and financial figures continue to play an important role in stories on different beats throughout the newsroom. Cohen will demonstrate how to work with sources readily available to reporters, from government websites like bea.gov to tools like Social Explorer. You'll learn what's in different data sets, how to get them, what you can pull from them, what questions to ask of the data and ideas for stories on the business beat and beyond.
",Clark,http://ire.org/events-and-training/event/3189/3720/
,CAR Conference Sales (Thursday),2018-03-08,7:30 a.m.,2018-03-08,6:00 p.m.,TBA,"Stop by the CAR Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts with the winning design from the T-shirt contest.
",7th Floor Foyer,http://ire.org/events-and-training/event/3189/3762/
,CAR Conference Registration (Thursday),2018-03-08,7:30 a.m.,2018-03-08,6:00 p.m.,TBA,"CAR Conference registration will be located on the 7th Floor of the Chicago Marriott Downtown Mag Mile. 
",7th Floor Registration,http://ire.org/events-and-training/event/3189/3758/
,International meet & greet **invitation-only event,2018-03-08,7:30 a.m.,2018-03-08,8:15 a.m.,TBA,,Armitage,http://ire.org/events-and-training/event/3189/3769/
